firm_id,subsector,ownership_type,foreign_ownership_percent,years_since_fdi,age_years,employees,assets_million_ngn,policy_tax_incentives,policy_regulatory_stability,policy_infrastructure_support,policy_corruption_experience,policy_effectiveness_index,policy_incentive_received,skilled_labor_ratio,iot_use,rd_spend_pct_revenue,liquidity_ratio,ka_i1,ka_i2,ka_i3,ka_i4,knowledge_absorption_index,tp_i1,tp_i2,tp_i3,task_performance_index,inn_i1,inn_i2,inn_i3,innovation_index,res_hr,res_tech,res_fin,firm_resources_index,roi_pct,roa_pct,export_intensity_pct,market_share_pct,operational_efficiency_index,fdi_presence
LAG-FP-0001,fruits_veg,domestic,0.0,0,33,78,4.72,5,4,7,4,5.0,1,0.35,0,1.56,1.38,5,3,5,3,4.0,3,3,4,3.33,3,3,2,2.67,4,3,3,3.33,8.1,3.98,4.39,0.25,55.34,0
LAG-FP-0002,grains_cereals,domestic,0.0,0,20,88,25.22,3,3,4,2,4.0,0,0.46,0,2.19,1.55,4,3,5,2,3.5,4,3,3,3.33,1,2,3,2.0,3,5,4,4.0,7.18,3.79,3.85,0.0,52.14,0
LAG-FP-0003,confectionery,domestic,0.0,0,7,46,14.65,5,6,4,4,4.75,1,0.56,1,1.7,1.78,3,4,1,3,2.75,3,5,4,4.0,4,1,3,2.67,5,4,4,4.33,8.09,4.25,0.0,0.8,58.42,0
LAG-FP-0004,bakery,foreign,83.9,1,14,44,14.22,4,4,4,5,3.75,1,0.41,0,0.85,1.07,2,5,3,1,2.75,5,2,3,3.33,4,4,2,3.33,4,3,2,3.0,7.88,4.02,8.27,0.0,49.2,1
LAG-FP-0005,bakery,domestic,0.0,0,10,87,23.57,5,4,5,7,3.75,0,0.44,1,1.45,1.22,4,3,3,5,3.75,3,4,4,3.67,2,4,4,3.33,3,4,3,3.33,8.45,3.55,2.45,0.0,58.94,0
LAG-FP-0006,grains_cereals,domestic,0.0,0,14,92,28.89,4,7,6,1,6.0,0,0.57,0,1.15,1.27,4,4,4,4,4.0,3,3,2,2.67,3,4,2,3.0,5,4,5,4.67,12.49,7.87,5.65,0.0,57.47,0
LAG-FP-0007,beverages,domestic,0.0,2,9,104,32.76,5,5,3,4,4.25,1,0.5,1,2.3,1.7,3,3,3,3,3.0,3,2,5,3.33,3,3,2,2.67,5,3,4,4.0,8.0,4.54,10.22,0.28,56.99,1
LAG-FP-0008,oils_fats,domestic,0.0,0,44,112,49.38,5,6,6,4,5.25,0,0.42,0,2.53,2.05,2,4,3,4,3.25,5,3,3,3.67,2,4,1,2.33,3,2,4,3.0,7.23,3.68,5.56,0.0,55.99,0
LAG-FP-0009,confectionery,domestic,0.0,0,8,50,13.29,2,4,5,5,3.5,1,0.48,0,1.66,1.4,5,4,4,5,4.5,1,3,2,2.0,2,3,4,3.0,4,4,3,3.67,9.02,4.52,3.49,0.32,50.49,0
LAG-FP-0010,dairy,domestic,0.0,0,26,80,16.26,3,5,1,1,4.0,0,0.67,0,1.39,1.65,2,5,3,4,3.5,4,1,4,3.0,3,3,4,3.33,4,5,5,4.67,10.69,8.31,2.19,0.02,56.43,0
LAG-FP-0011,fruits_veg,domestic,0.0,0,31,67,18.69,7,2,5,3,4.75,1,0.18,0,1.43,0.8,3,3,4,2,3.0,4,3,3,3.33,3,3,5,3.67,4,4,3,3.67,9.77,6.72,3.39,0.0,56.47,0
LAG-FP-0012,confectionery,domestic,0.0,0,1,89,23.68,3,5,5,3,4.5,0,0.57,1,0.45,2.72,2,2,5,4,3.25,3,3,5,3.67,5,3,3,3.67,5,3,5,4.33,9.53,7.51,3.34,0.0,58.98,0
LAG-FP-0013,beverages,joint_venture,74.28,5,3,175,49.38,3,3,7,4,4.25,0,0.46,0,2.92,0.74,4,3,5,4,4.0,3,3,2,2.67,4,5,3,4.0,3,3,4,3.33,11.9,5.83,13.66,0.38,42.41,1
LAG-FP-0014,bakery,foreign,90.58,1,1,123,50.13,5,5,6,7,4.25,1,0.78,0,2.12,1.59,3,2,2,3,2.5,4,4,4,4.0,3,3,3,3.0,3,5,3,3.67,5.93,2.38,10.44,1.01,57.28,1
LAG-FP-0015,grains_cereals,domestic,0.0,5,1,60,10.56,5,3,4,4,4.0,1,0.38,1,1.65,1.16,4,5,3,3,3.75,2,4,3,3.0,3,3,4,3.33,5,4,4,4.33,9.57,5.68,11.04,0.0,57.05,1
LAG-FP-0016,grains_cereals,domestic,0.0,0,5,56,6.89,4,5,3,7,3.25,1,0.42,0,1.18,2.69,3,4,3,4,3.5,3,4,2,3.0,3,4,4,3.67,2,3,3,2.67,6.96,4.84,4.33,0.07,42.3,0
LAG-FP-0017,dairy,domestic,0.0,0,11,149,55.37,5,4,5,5,4.25,1,0.27,0,2.1,1.35,3,4,3,3,3.25,1,4,1,2.0,4,4,3,3.67,4,3,4,3.67,8.8,4.19,5.9,0.4,55.56,0
LAG-FP-0018,grains_cereals,domestic,0.0,0,21,23,9.86,4,3,2,6,2.75,1,0.7,1,0.0,1.85,2,4,5,5,4.0,4,4,2,3.33,2,2,2,2.0,4,3,4,3.67,7.6,4.79,2.36,1.11,45.93,0
LAG-FP-0019,grains_cereals,domestic,0.0,0,6,91,14.4,5,4,5,2,5.0,1,0.36,1,1.38,1.57,3,1,4,5,3.25,2,4,3,3.0,4,4,2,3.33,4,2,3,3.0,7.46,5.11,3.84,1.08,50.01,0
LAG-FP-0020,grains_cereals,domestic,0.0,5,16,98,29.71,6,4,2,1,4.75,1,0.53,0,2.4,0.5,2,5,4,5,4.0,4,5,3,4.0,2,3,4,3.0,2,2,4,2.67,8.73,5.76,10.51,1.05,58.66,1
