firm_code,stratum,zone,is_main_sample,is_backup,responded
FIRM001,SME,Apapa,1,0,1
FIRM002,SME,Ibeju-Lekki,0,0,0
FIRM003,SME,Amuwo-Odofin,1,0,1
FIRM004,SME,Oshodi/Isolo,0,0,0
FIRM005,SME,Ikeja,0,1,0
FIRM006,SME,Ikeja,1,0,1
FIRM007,SME,Ikeja,1,0,1
FIRM008,SME,Ikorodu,1,0,0
FIRM009,SME,Oshodi/Isolo,0,1,0
FIRM010,SME,Amuwo-Odofin,1,0,0
FIRM011,SME,Ikeja,1,0,0
FIRM012,SME,Ibeju-Lekki,1,0,1
FIRM013,SME,Ikorodu,1,0,0
FIRM014,SME,Ikeja,0,0,0
FIRM015,SME,Ikeja,0,1,0
FIRM016,SME,Ikeja,1,0,1
FIRM017,SME,Apapa,1,0,1
FIRM018,SME,Oshodi/Isolo,1,0,1
FIRM019,SME,Oshodi/Isolo,1,0,1
FIRM020,SME,Apapa,1,0,1
FIRM021,SME,Oshodi/Isolo,0,0,0
FIRM022,SME,Ikeja,0,0,0
FIRM023,SME,Apapa,1,0,1
FIRM024,SME,Apapa,0,1,0
FIRM025,SME,Oshodi/Isolo,1,0,1
FIRM026,SME,Amuwo-Odofin,1,0,1
FIRM027,SME,Ikeja,1,0,0
FIRM028,SME,Oshodi/Isolo,1,0,0
FIRM029,SME,Oshodi/Isolo,1,0,1
FIRM030,SME,Ikeja,1,0,1
FIRM031,SME,Oshodi/Isolo,1,0,1
FIRM032,SME,Ikeja,1,0,1
FIRM033,SME,Ikeja,0,1,0
FIRM034,SME,Ibeju-Lekki,1,0,0
FIRM035,SME,Ibeju-Lekki,0,0,0
FIRM036,SME,Ikorodu,1,0,0
FIRM037,SME,Apapa,1,0,1
FIRM038,SME,Ikeja,1,0,1
FIRM039,SME,Amuwo-Odofin,1,0,1
FIRM040,SME,Oshodi/Isolo,0,1,0
FIRM041,SME,Ikeja,0,1,0
FIRM042,SME,Oshodi/Isolo,1,0,1
FIRM043,SME,Ikeja,1,0,1
FIRM044,SME,Ikorodu,0,0,0
FIRM045,SME,Ikeja,0,1,0
FIRM046,SME,Amuwo-Odofin,1,0,1
FIRM047,SME,Apapa,1,0,1
FIRM048,SME,Oshodi/Isolo,0,1,0
FIRM049,SME,Oshodi/Isolo,0,0,0
FIRM050,SME,Ikeja,0,0,0
FIRM051,SME,Ibeju-Lekki,0,0,0
FIRM052,SME,Amuwo-Odofin,1,0,1
FIRM053,SME,Ibeju-Lekki,0,0,0
FIRM054,SME,Ikorodu,0,0,0
FIRM055,SME,Oshodi/Isolo,0,0,0
FIRM056,SME,Ibeju-Lekki,1,0,0
FIRM057,SME,Ikeja,1,0,0
FIRM058,SME,Ikeja,1,0,1
FIRM059,SME,Ikeja,0,0,0
FIRM060,SME,Apapa,1,0,0
FIRM061,SME,Apapa,1,0,1
FIRM062,SME,Apapa,1,0,1
FIRM063,SME,Ikorodu,0,1,0
FIRM064,SME,Apapa,1,0,1
FIRM065,SME,Apapa,0,1,0
FIRM066,SME,Oshodi/Isolo,1,0,0
FIRM067,SME,Ikeja,1,0,1
FIRM068,SME,Ikorodu,1,0,0
FIRM069,SME,Ikeja,1,0,1
FIRM070,SME,Ibeju-Lekki,1,0,1
FIRM071,SME,Amuwo-Odofin,0,1,0
FIRM072,SME,Ikeja,0,0,0
FIRM073,SME,Ikeja,1,0,0
FIRM074,SME,Ikorodu,1,0,1
FIRM075,SME,Amuwo-Odofin,1,0,1
FIRM076,SME,Amuwo-Odofin,1,0,1
FIRM077,SME,Amuwo-Odofin,1,0,1
FIRM078,SME,Ikeja,1,0,1
FIRM079,SME,Apapa,1,0,1
FIRM080,SME,Ikeja,1,0,0
FIRM081,SME,Ikorodu,0,0,0
FIRM082,SME,Oshodi/Isolo,0,1,0
FIRM083,SME,Apapa,1,0,1
FIRM084,SME,Ikeja,1,0,1
FIRM085,SME,Apapa,1,0,1
FIRM086,SME,Apapa,1,0,1
FIRM087,SME,Amuwo-Odofin,1,0,0
FIRM088,SME,Amuwo-Odofin,0,0,0
FIRM089,SME,Ikorodu,0,0,0
FIRM090,SME,Oshodi/Isolo,1,0,1
