specimen_id,configuration,temperature_C,time_min,axial_shrinkage_percent,radial_shrinkage_percent,notes
anode_A1,anode,900,0,0.00,0.00,green tape reference
anode_A1,anode,900,30,0.32,0.28,debind onset complete
anode_A1,anode,900,60,0.78,0.68,
anode_A1,anode,900,90,1.10,0.95,
anode_A1,anode,900,120,1.38,1.18,
anode_A1,anode,1000,0,0.00,0.00,
anode_A1,anode,1000,30,0.55,0.47,
anode_A1,anode,1000,60,1.25,1.08,
anode_A1,anode,1000,90,1.92,1.64,
anode_A1,anode,1000,120,2.35,2.02,closed porosity threshold
anode_A1,anode,1100,0,0.00,0.00,
anode_A1,anode,1100,15,0.68,0.60,
anode_A1,anode,1100,45,1.82,1.58,
anode_A1,anode,1100,75,2.65,2.31,
anode_A1,anode,1100,105,3.10,2.73,
anode_A1,anode,1200,0,0.00,0.00,
anode_A1,anode,1200,15,1.10,0.98,
anode_A1,anode,1200,45,2.45,2.12,
anode_A1,anode,1200,75,3.48,3.02,
anode_A1,anode,1200,105,3.86,3.40,dense stage plateau
electrolyte_E1,electrolyte,1000,0,0.00,0.00,pre-sinter hold
electrolyte_E1,electrolyte,1000,30,0.20,0.18,
electrolyte_E1,electrolyte,1000,60,0.58,0.52,
electrolyte_E1,electrolyte,1000,90,0.95,0.86,
electrolyte_E1,electrolyte,1000,120,1.22,1.12,
electrolyte_E1,electrolyte,1100,0,0.00,0.00,
electrolyte_E1,electrolyte,1100,30,0.45,0.41,
electrolyte_E1,electrolyte,1100,60,1.05,0.97,
electrolyte_E1,electrolyte,1100,90,1.62,1.47,
electrolyte_E1,electrolyte,1100,120,2.04,1.86,grain growth onset
electrolyte_E1,electrolyte,1200,0,0.00,0.00,
electrolyte_E1,electrolyte,1200,15,0.72,0.67,
electrolyte_E1,electrolyte,1200,45,1.68,1.56,
electrolyte_E1,electrolyte,1200,75,2.34,2.16,
electrolyte_E1,electrolyte,1200,105,2.88,2.66,near full density
electrolyte_E1,electrolyte,1300,0,0.00,0.00,
electrolyte_E1,electrolyte,1300,15,0.95,0.90,
electrolyte_E1,electrolyte,1300,45,2.25,2.13,
electrolyte_E1,electrolyte,1300,75,3.05,2.91,
electrolyte_E1,electrolyte,1300,105,3.42,3.28,coarsening regime
cathode_C1,cathode,900,0,0.00,0.00,
cathode_C1,cathode,900,30,0.40,0.36,
cathode_C1,cathode,900,60,0.95,0.87,
cathode_C1,cathode,900,90,1.32,1.21,
cathode_C1,cathode,900,120,1.58,1.43,
cathode_C1,cathode,1000,0,0.00,0.00,
cathode_C1,cathode,1000,30,0.68,0.60,
cathode_C1,cathode,1000,60,1.42,1.30,
cathode_C1,cathode,1000,90,2.05,1.86,
cathode_C1,cathode,1000,120,2.48,2.22,
cathode_C1,cathode,1100,0,0.00,0.00,
cathode_C1,cathode,1100,15,0.92,0.84,
cathode_C1,cathode,1100,45,2.05,1.89,
cathode_C1,cathode,1100,75,2.86,2.65,
cathode_C1,cathode,1100,105,3.28,3.04,
cathode_C1,cathode,1200,0,0.00,0.00,
cathode_C1,cathode,1200,15,1.20,1.12,
cathode_C1,cathode,1200,45,2.62,2.45,
cathode_C1,cathode,1200,75,3.40,3.18,
cathode_C1,cathode,1200,105,3.82,3.54,
couple_AE1,anode-electrolyte,1000,0,0.00,0.00,bilayer tape
couple_AE1,anode-electrolyte,1000,30,0.38,0.34,
couple_AE1,anode-electrolyte,1000,60,1.02,0.92,
couple_AE1,anode-electrolyte,1000,90,1.65,1.48,
couple_AE1,anode-electrolyte,1000,120,2.05,1.84,stress-limited contraction
couple_AE1,anode-electrolyte,1100,0,0.00,0.00,
couple_AE1,anode-electrolyte,1100,30,0.62,0.56,
couple_AE1,anode-electrolyte,1100,60,1.45,1.31,
couple_AE1,anode-electrolyte,1100,90,2.18,1.98,
couple_AE1,anode-electrolyte,1100,120,2.70,2.46,
couple_AE1,anode-electrolyte,1200,0,0.00,0.00,
couple_AE1,anode-electrolyte,1200,15,0.92,0.86,
couple_AE1,anode-electrolyte,1200,45,2.15,2.00,
couple_AE1,anode-electrolyte,1200,75,3.02,2.82,
couple_AE1,anode-electrolyte,1200,105,3.55,3.30,
couple_EC1,electrolyte-cathode,1000,0,0.00,0.00,
couple_EC1,electrolyte-cathode,1000,30,0.30,0.28,
couple_EC1,electrolyte-cathode,1000,60,0.88,0.80,
couple_EC1,electrolyte-cathode,1000,90,1.35,1.24,
couple_EC1,electrolyte-cathode,1000,120,1.68,1.54,
couple_EC1,electrolyte-cathode,1100,0,0.00,0.00,
couple_EC1,electrolyte-cathode,1100,30,0.52,0.48,
couple_EC1,electrolyte-cathode,1100,60,1.20,1.10,
couple_EC1,electrolyte-cathode,1100,90,1.78,1.64,
couple_EC1,electrolyte-cathode,1100,120,2.22,2.03,
couple_EC1,electrolyte-cathode,1200,0,0.00,0.00,
couple_EC1,electrolyte-cathode,1200,15,0.82,0.78,
couple_EC1,electrolyte-cathode,1200,45,1.95,1.84,
couple_EC1,electrolyte-cathode,1200,75,2.70,2.55,
couple_EC1,electrolyte-cathode,1200,105,3.15,2.97,
