condition_id,fixture_type,boundary_constraint,stack_pressure_value,stack_pressure_units,load_type,applied_force_value,applied_force_units,applied_moment_value,applied_moment_units,normal_force_direction,shear_plane,temperature_celsius,notes,source_metadata,created_utc
MBC-00001,biaxial_fixture,fixed_fixed,2.524,MPa,shear,521.45,N,,,,zx,34.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00002,biaxial_fixture,clamped,0.415,MPa,bending,,,117.1,N*m,,,29.4,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00003,uniaxial_compression_fixture,clamped,7.189,MPa,tensile,2103.4,N,,,-y,,90.1,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00004,three_point_bending,fixed_fixed,7.012,MPa,tensile,785.84,N,,,+y,,54.0,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00005,biaxial_fixture,fixed_fixed,1.057,MPa,bending,,,302.26,N*m,,,104.7,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00006,uniaxial_compression_fixture,simply_supported,5.409,MPa,bending,,,189.89,N*m,,,117.3,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00007,three_point_bending,simply_supported,8.866,MPa,torsional,,,96.95,N*m,,,56.2,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00008,biaxial_fixture,fixed_fixed,7.753,MPa,tensile,4278.04,N,,,+z,,118.5,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00009,shear_fixture_double_lap,pinned_pinned,6.393,MPa,bending,,,185.72,N*m,,,56.5,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
MBC-00010,four_point_bending,simply_supported,7.048,MPa,shear,366.3,N,,,,zx,88.4,synthetic sample generated,"{""source"":""experimental_setup_details"",""schema_version"":""1.0"",""fixture_vocab"":[""uniaxial_compression_fixture"",""biaxial_fixture"",""triaxial_cell"",""four_point_bending"",""three_point_bending"",""shear_fixture_single_lap"",""shear_fixture_double_lap"",""custom_fixture""],""boundary_constraints_vocab"":[""fixed_fixed"",""fixed_free"",""pinned_pinned"",""pinned_fixed"",""clamped"",""simply_supported""],""load_types_vocab"":[""compressive"",""tensile"",""shear"",""bending"",""torsional""],""units"":{""stack_pressure"":""MPa"",""force"":""N"",""moment"":""N*m""}}",2025-10-09T04:23:38Z
