design_id,geometry_type,channel_width_mm,channel_height_mm,curvature_1_per_mm,length_mm,pred_pressure_drop_Pa,pred_stress_MPa,meas_pressure_drop_Pa,meas_stress_MPa
D001,rectangular,1.335,0.458,0.0,50.32,36964.57,60.531,34170.32,54.613
D002,serpentine,0.572,0.825,0.1016,33.5,44959.09,56.165,48084.1,53.794
D003,serpentine,0.614,0.232,0.0621,52.07,50000.0,58.742,49167.03,61.885
D004,serpentine,2.253,0.946,0.1081,86.07,50000.0,63.401,50000.0,66.779
D005,bow_shaped,1.203,0.826,0.045,21.69,15026.07,53.262,14786.19,50.97
D006,bow_shaped,1.62,0.262,0.0732,71.52,50000.0,62.758,50000.0,55.957
D007,bow_shaped,1.744,0.25,0.0172,114.48,50000.0,70.392,48611.14,72.703
D008,bow_shaped,1.79,0.719,0.0446,86.33,50000.0,68.451,50000.0,68.18
D009,bow_shaped,2.289,0.265,0.0375,33.23,45491.2,56.457,47274.13,55.259
D010,rectangular,1.799,0.477,0.0,96.66,50000.0,68.145,50000.0,70.344
D011,serpentine,1.33,0.521,0.0817,63.79,50000.0,57.428,50000.0,56.581
D012,bow_shaped,2.235,0.84,0.0556,111.62,50000.0,72.621,50000.0,70.219
D013,serpentine,2.074,0.77,0.0583,48.21,31415.07,61.649,32548.0,57.175
D014,serpentine,1.426,1.099,0.0647,76.57,46804.81,65.348,45510.93,64.353
D015,rectangular,1.156,0.209,0.0,52.81,50000.0,61.393,50000.0,58.853
D016,serpentine,1.573,0.335,0.0518,95.27,50000.0,70.054,46284.53,78.821
D017,serpentine,1.754,0.346,0.0606,76.52,50000.0,63.071,48846.35,63.71
D018,rectangular,0.598,0.612,0.0,53.89,44500.0,62.297,44508.0,73.382
D019,rectangular,0.752,0.735,0.0,43.61,29430.02,62.637,30270.53,67.977
D020,rectangular,2.413,0.281,0.0,77.8,50000.0,63.753,50000.0,76.993
D021,rectangular,0.739,1.192,0.0,72.34,39606.24,61.02,38818.58,67.209
D022,bow_shaped,1.208,0.302,0.0734,43.55,50000.0,56.91,49435.14,59.819
D023,serpentine,2.397,1.076,0.0338,74.52,31948.63,62.971,32929.96,62.548
D024,rectangular,1.661,0.488,0.0,29.81,19805.03,51.567,21079.29,58.937
D025,rectangular,1.069,0.302,0.0,103.23,50000.0,68.313,50000.0,66.048
D026,serpentine,1.523,0.964,0.0643,92.79,50000.0,69.605,47711.6,74.101
D027,bow_shaped,2.24,0.382,0.0761,106.93,50000.0,72.02,50000.0,75.83
D028,bow_shaped,2.363,1.133,0.053,70.15,32570.49,68.191,29724.92,74.645
D029,rectangular,1.567,0.311,0.0,79.8,50000.0,62.638,48384.36,57.391
D030,serpentine,0.881,0.482,0.0887,41.99,50000.0,53.594,46481.78,51.458
D031,serpentine,1.575,1.016,0.0396,106.42,50000.0,69.994,50000.0,76.27
D032,bow_shaped,1.362,0.424,0.0235,62.9,50000.0,66.825,48061.56,62.886
D033,bow_shaped,1.495,0.716,0.0573,21.77,16349.24,55.147,17507.13,46.713
D034,serpentine,1.022,0.29,0.0492,42.68,50000.0,56.097,50000.0,59.575
D035,serpentine,0.82,0.365,0.0424,83.49,50000.0,63.236,49600.42,64.41
D036,serpentine,1.328,0.43,0.0536,103.14,50000.0,69.116,50000.0,69.206
D037,rectangular,1.766,1.033,0.0,108.84,41760.17,67.622,41176.69,63.816
D038,rectangular,2.264,1.17,0.0,114.94,37300.88,71.97,36585.36,76.97
D039,serpentine,0.88,0.829,0.0971,57.99,50000.0,60.568,50000.0,64.88
D040,bow_shaped,0.782,1.137,0.0638,114.52,50000.0,75.334,48254.59,75.676
D041,bow_shaped,0.732,0.908,0.017,69.01,48401.78,60.857,49925.19,65.303
D042,bow_shaped,0.634,0.247,0.0194,58.94,50000.0,65.887,50000.0,65.041
D043,rectangular,0.671,0.376,0.0,65.88,50000.0,68.322,50000.0,65.457
D044,bow_shaped,1.519,0.835,0.0493,108.23,50000.0,71.968,50000.0,60.952
D045,serpentine,2.041,0.502,0.0781,100.57,50000.0,65.451,47038.19,66.018
D046,bow_shaped,1.403,0.565,0.0185,21.96,15659.19,57.25,16862.69,56.38
D047,bow_shaped,2.49,1.091,0.0698,93.44,48065.06,70.194,50000.0,70.267
D048,serpentine,0.942,1.182,0.0346,80.99,49296.49,66.391,47554.36,68.433
D049,serpentine,0.991,0.564,0.0462,71.89,50000.0,61.438,49758.99,67.563
