temperature_C,strain_percent,stress_MPa,mechanism,hysteresis_loop
25,0.0,0.0,Elastic,1
25,0.1,18.5,Elastic,1
25,0.2,36.8,Elastic,1
25,0.3,54.9,Elastic,1
25,0.4,72.8,Elastic,1
25,0.5,90.2,Elastic,1
400,0.0,0.0,Elastic,1
400,0.1,16.2,Elastic+Ferroelastic_onset,1
400,0.2,31.8,Ferroelastic_switching,1
400,0.3,46.5,Ferroelastic_switching,1
400,0.4,60.1,Ferroelastic_switching,1
400,0.5,72.8,Ferroelastic_saturating,1
600,0.0,0.0,Elastic,1
600,0.1,14.5,Elastic+Ferroelastic,1
600,0.2,28.2,Ferroelastic_active,1
600,0.3,41.3,Ferroelastic_active,1
600,0.4,53.8,Ferroelastic_active,1
600,0.5,65.2,Grain_boundary_sliding_onset,1
800,0.0,0.0,Elastic,1
800,0.1,12.1,Elastic+Ferroelastic+GBS,1
800,0.2,23.5,Mixed_mechanisms,1
800,0.3,34.2,Mixed_mechanisms,1
800,0.4,44.1,Significant_GBS,1
800,0.5,53.2,Significant_GBS,1
