specimen_id,position_mm,fem_stress_MPa,fem_strain,exp_stress_MPa,exp_strain,temperature_C,loading_rate_MPa_per_s
S01,0.0,470.931,0.076691,484.587,0.078727,25,3.837
S01,1.028,470.931,0.076691,457.433,0.079281,25,3.837
S01,2.056,470.931,0.076691,474.051,0.080193,25,3.837
S01,3.084,470.931,0.076691,465.554,0.080031,25,3.837
S01,4.112,470.931,0.076691,474.144,0.080568,25,3.837
S01,5.139,470.931,0.076691,469.051,0.080342,25,3.837
S01,6.167,470.931,0.076691,477.233,0.080302,25,3.837
S01,7.195,470.931,0.076691,474.32,0.079769,25,3.837
S01,8.223,470.931,0.076691,453.921,0.079083,25,3.837
S01,9.251,470.931,0.076691,478.156,0.078138,25,3.837
S01,10.279,470.931,0.076691,481.469,0.077261,25,3.837
S01,11.307,470.931,0.076691,468.947,0.076096,25,3.837
S01,12.335,470.931,0.076691,491.203,0.075413,25,3.837
S01,13.363,470.931,0.076691,499.726,0.074409,25,3.837
S01,14.39,470.931,0.076691,472.819,0.073893,25,3.837
S01,15.418,470.931,0.076691,480.343,0.073386,25,3.837
S01,16.446,470.931,0.076691,454.561,0.072637,25,3.837
S01,17.474,470.931,0.076691,456.02,0.072678,25,3.837
S01,18.502,470.931,0.076691,475.688,0.073078,25,3.837
S01,19.53,470.931,0.076691,463.453,0.073318,25,3.837
S01,20.558,470.931,0.076691,480.39,0.073991,25,3.837
S01,21.586,470.931,0.076691,461.906,0.074644,25,3.837
S01,22.613,470.931,0.076691,487.506,0.075593,25,3.837
S01,23.641,470.931,0.076691,484.378,0.07691,25,3.837
S01,24.669,470.931,0.076691,457.487,0.077548,25,3.837
S01,25.697,470.931,0.076691,477.541,0.078281,25,3.837
S01,26.725,470.931,0.076691,455.804,0.079423,25,3.837
S01,27.753,451.386,0.066919,456.136,0.069737,25,3.837
S01,28.781,394.716,0.038584,387.064,0.04002,25,3.837
S01,29.809,340.8,0.011626,348.289,0.012461,25,3.837
S01,30.837,290.489,0.001531,284.073,0.001784,25,3.837
S01,31.864,244.577,0.001289,251.014,0.001601,25,3.837
S01,32.892,203.787,0.001074,207.639,0.001026,25,3.837
