sample_id,ramp_up_rate_c_per_min,peak_temperature_c,hold_time_min,cool_rate_c_per_min,applied_pressure_mpa,atmosphere,initial_relative_density,initial_median_pore_diameter_um,initial_pore_size_lognormal_sigma,grain_size_mean_um,grain_size_std_um,porosity_percent,pore_median_diameter_um,pore_size_lognormal_sigma,hag_boundary_fraction_percent,avg_misorientation_deg,relative_density,sintering_index_model
1,19.935,1392.41,118.11,12.528,13.213,air,0.5545,0.8336,0.4987,2.3713,0.5731,0.1,0.3924,0.4274,63.86,28.37,0.999,2.36925
2,11.877,1151.02,62.64,3.207,32.25,hydrogen,0.6467,2.3766,0.5395,3.4233,1.0582,0.1,1.0934,0.4884,55.66,29.33,0.999,1.50299
3,6.182,1088.09,75.97,6.87,0.0,hydrogen,0.5698,1.7505,0.444,3.2569,0.7715,0.1,0.851,0.3977,57.84,29.44,0.999,1.20274
4,8.657,1037.05,134.86,18.375,0.0,argon,0.5263,0.6133,0.4137,1.5536,0.328,0.1,0.3823,0.2952,50.57,27.69,0.999,1.50419
5,6.826,1317.83,88.64,16.514,0.0,air,0.5133,0.571,0.5415,1.8927,0.4037,0.1,0.3037,0.4422,59.83,32.32,0.999,1.79729
6,12.612,1386.86,158.12,20.268,46.939,air,0.6073,1.2801,0.4631,2.4491,0.6971,0.1,0.6737,0.3792,58.4,29.07,0.999,3.23938
7,14.055,1222.4,161.5,17.787,37.837,argon,0.6246,1.7336,0.4832,3.2459,0.8356,0.1,0.7627,0.3783,55.35,28.13,0.999,2.71672
8,9.232,1265.68,123.32,16.397,0.0,vacuum,0.6371,0.6957,0.3751,2.0055,0.4438,0.1,0.3794,0.2972,68.79,32.05,0.999,2.08293
9,18.727,1152.04,115.86,7.067,25.404,air,0.6151,0.8743,0.3998,2.059,0.5633,0.1,0.4842,0.2879,56.82,29.06,0.999,1.80664
10,8.089,995.57,137.61,16.404,7.649,hydrogen,0.6365,0.8604,0.5005,2.0103,0.611,0.1,0.4933,0.4585,52.36,29.19,0.999,1.55388
11,16.655,1397.28,104.87,22.454,0.0,air,0.5422,0.5137,0.4379,1.8413,0.5292,0.1,0.2324,0.3425,70.54,32.33,0.999,2.11269
12,10.809,1373.67,164.7,23.387,0.0,hydrogen,0.6056,0.5353,0.3953,2.2598,0.5177,0.1,0.2828,0.2849,65.67,31.68,0.999,2.79037
13,10.659,1095.36,94.26,6.442,0.0,vacuum,0.5539,0.4877,0.3949,1.7303,0.367,0.1,0.2832,0.3119,57.03,31.09,0.999,1.35738
14,5.386,985.12,157.89,2.12,39.015,air,0.5716,0.4026,0.5395,1.1791,0.2481,0.1,0.1935,0.4544,42.99,27.52,0.999,1.84676
15,8.39,1203.31,159.86,12.366,12.665,air,0.5157,0.5611,0.4142,1.9887,0.4244,0.1,0.2821,0.3147,56.95,27.55,0.999,2.23458
16,14.771,1196.77,145.71,24.016,47.877,nitrogen,0.6387,0.5542,0.5406,1.5416,0.4238,0.1,0.3031,0.4504,61.2,30.88,0.999,2.5633
17,4.7,1130.41,55.82,21.639,0.0,nitrogen,0.5329,0.7366,0.5272,1.5938,0.411,0.1,0.4346,0.4286,52.01,31.76,0.999,1.07959
