specimen_id,interface_type,load_at_fracture_mN,beam_length_um,beam_width_um,beam_height_um,calculated_Gc_J_m2,test_temperature_C,notes
MC_001,YSZ_GDC,45.2,150,25,15,2.78,25,Clean fracture
MC_002,YSZ_GDC,48.7,150,25,15,2.92,25,Clean fracture
MC_003,YSZ_GDC,43.1,150,25,15,2.71,25,Minor deflection
MC_004,YSZ_GDC,50.3,150,25,15,2.98,25,Clean fracture
MC_005,YSZ_GDC,46.8,150,25,15,2.85,25,Clean fracture
MC_006,YSZ_GDC,44.5,150,25,15,2.74,25,Clean fracture
MC_007,YSZ_GDC,49.1,150,25,15,2.94,25,Clean fracture
MC_008,YSZ_GDC,47.2,150,25,15,2.88,25,Clean fracture
MC_009,YSZ_GDC,42.8,150,25,15,2.68,25,Edge damage noted
MC_010,YSZ_GDC,51.2,150,25,15,3.02,25,Clean fracture
MC_011,GDC_LSCF,52.8,150,25,15,3.25,25,Clean fracture
MC_012,GDC_LSCF,55.3,150,25,15,3.38,25,Clean fracture
MC_013,GDC_LSCF,48.9,150,25,15,3.05,25,Partial delamination
MC_014,GDC_LSCF,51.2,150,25,15,3.18,25,Clean fracture
MC_015,GDC_LSCF,49.7,150,25,15,3.12,25,Clean fracture
MC_016,GDC_LSCF,54.1,150,25,15,3.32,25,Clean fracture
MC_017,GDC_LSCF,50.5,150,25,15,3.15,25,Clean fracture
MC_018,GDC_LSCF,47.8,150,25,15,3.01,25,Minor porosity observed
MC_019,GDC_LSCF,53.6,150,25,15,3.29,25,Clean fracture
MC_020,GDC_LSCF,52.1,150,25,15,3.21,25,Clean fracture
