firm_code,date,stratum,zone,years_of_operation,num_employees,num_employees_cat,annual_revenue_cat,ownership_type,fdi_partnership,fdi_equity,fdi_joint_venture,fdi_technology_transfer,fdi_management_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,rd_intensity_percent,new_products_3yrs,proc_iot,proc_automation,proc_quality_mgmt,proc_other,proc_other_text,skilled_workforce_percent,training_hours_per_employee,modern_equipment,machinery_age_years,access_to_credit,reinvestment_rate_percent,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,avg_roi_percent,avg_roa_percent,export_intensity_percent,capacity_utilization_percent,market_share_lagos_percent
FIRM001,08/05/2025,SME,Apapa,11,116,51-250,500M-5B,Local,1,1,1,1,0,9,4,2,2,2,4,1,5,4,12.0,4,0,1,1,0,,75.8,39,0,17.8,Easy,31.0,6,4,5,4,40.0,25.0,45.0,73.8,1.12
FIRM003,06/10/2025,SME,Amuwo-Odofin,14,64,51-250,50M-500M,Foreign-owned,1,0,0,1,0,5,1,4,1,1,3,4,1,1,12.0,0,1,1,0,0,,80.0,22,0,16.9,Easy,45.5,1,1,1,1,40.0,25.0,41.74,77.5,0.73
FIRM006,05/05/2025,SME,Ikeja,3,48,1-50,50M-500M,Foreign-owned,0,0,0,0,0,0,1,2,3,2,1,2,4,3,12.0,5,1,1,1,0,,49.6,30,1,4.7,Moderate,14.8,3,6,6,3,40.0,25.0,45.0,79.2,2.49
FIRM007,11/07/2025,SME,Ikeja,9,70,51-250,>5B,Local,1,0,0,1,1,10,2,3,5,4,4,5,5,4,7.0,1,0,0,1,0,,10.0,34,1,6.3,Moderate,14.6,6,4,4,2,40.0,25.0,44.07,77.5,1.59
FIRM012,30/07/2025,SME,Ibeju-Lekki,18,44,1-50,<50M,Local,1,0,1,0,0,4,5,5,4,2,5,2,5,4,6.43,3,0,1,0,0,,48.5,39,1,4.9,Moderate,26.5,4,2,4,5,40.0,25.0,45.0,83.0,1.81
FIRM016,22/07/2025,SME,Ikeja,7,21,1-50,50M-500M,Joint venture,1,1,0,1,0,7,4,4,4,1,5,4,5,5,12.0,2,1,0,0,1,ERP upgrade,53.8,37,0,12.9,Easy,16.0,5,6,1,4,40.0,25.0,45.0,75.3,1.35
FIRM017,01/05/2025,SME,Apapa,10,72,51-250,<50M,Local,1,0,0,1,0,4,4,1,2,4,4,3,2,2,11.58,6,0,1,1,0,,36.8,34,1,4.8,Moderate,38.8,7,7,7,7,40.0,25.0,45.0,82.0,1.4
FIRM018,26/04/2025,SME,Oshodi/Isolo,9,112,51-250,50M-500M,Local,0,0,0,0,0,0,2,2,4,3,2,2,4,2,12.0,5,0,1,1,1,ERP upgrade,45.7,20,0,15.0,Moderate,15.2,7,6,6,7,40.0,25.0,38.31,71.6,1.48
FIRM019,04/05/2025,SME,Oshodi/Isolo,10,64,51-250,<50M,Joint venture,1,0,1,1,0,2,4,1,2,3,2,3,4,5,12.0,4,1,0,1,0,,82.5,17,1,7.9,Difficult,18.3,1,3,4,2,40.0,25.0,45.0,75.4,0.05
FIRM020,30/07/2025,SME,Apapa,4,126,51-250,50M-500M,Foreign-owned,0,0,0,0,0,0,3,2,2,1,5,5,5,3,2.39,3,0,1,0,0,,67.0,28,0,9.8,Easy,13.3,2,4,5,4,40.0,25.0,38.48,80.0,0.5
FIRM023,22/07/2025,SME,Apapa,18,250,51-250,50M-500M,Local,0,0,0,0,0,0,2,1,2,3,5,2,5,4,12.0,2,1,0,1,0,,38.4,35,1,11.0,Easy,25.2,5,3,1,2,40.0,25.0,36.56,77.3,0.05
FIRM025,28/05/2025,SME,Oshodi/Isolo,22,44,1-50,500M-5B,Local,0,0,0,0,0,0,2,3,2,5,5,1,3,3,12.0,5,1,1,1,0,,26.2,21,0,11.0,Moderate,16.4,4,2,1,1,40.0,25.0,30.91,69.5,0.05
FIRM026,08/08/2025,SME,Amuwo-Odofin,4,166,51-250,<50M,Local,0,0,0,0,0,0,3,2,5,5,3,5,5,2,7.91,1,0,1,0,1,Solar retrofit,49.1,37,0,18.0,Moderate,11.6,2,1,3,1,40.0,25.0,42.62,82.4,0.62
FIRM029,10/09/2025,SME,Oshodi/Isolo,22,45,1-50,>5B,Foreign-owned,1,0,0,0,1,6,2,3,5,3,2,5,4,5,12.0,3,0,1,1,0,,51.2,41,1,5.3,Easy,40.7,6,3,4,7,40.0,25.0,45.0,85.0,0.52
FIRM030,23/04/2025,SME,Ikeja,4,49,1-50,500M-5B,Local,0,0,0,0,0,0,3,1,4,4,3,4,3,4,12.0,1,1,0,1,0,,63.9,13,1,8.6,Difficult,9.4,4,3,3,2,40.0,25.0,45.0,86.4,1.82
FIRM031,14/07/2025,SME,Oshodi/Isolo,4,23,1-50,50M-500M,Foreign-owned,1,0,1,1,1,8,3,3,3,1,1,5,1,1,11.34,2,1,1,1,0,,45.4,14,0,12.6,Easy,24.4,6,4,7,7,40.0,25.0,40.57,80.4,0.87
FIRM032,18/08/2025,SME,Ikeja,5,32,1-50,500M-5B,Joint venture,0,0,0,0,0,0,3,2,1,5,2,1,1,1,12.0,6,1,0,1,0,,64.2,22,0,7.1,Difficult,24.5,5,6,5,7,40.0,25.0,31.52,74.7,0.05
FIRM037,31/05/2025,SME,Apapa,11,178,51-250,<50M,Local,1,1,1,0,0,7,1,5,4,3,5,5,5,1,10.94,4,0,1,1,0,,89.8,28,1,4.8,Easy,7.7,6,7,6,7,40.0,25.0,45.0,85.5,1.44
FIRM038,10/06/2025,SME,Ikeja,20,30,1-50,500M-5B,Local,0,0,0,0,0,0,1,4,1,1,2,2,1,1,8.58,2,1,0,1,0,,69.7,18,0,9.9,Moderate,22.8,2,2,2,1,40.0,25.0,28.16,71.4,0.05
FIRM039,04/08/2025,SME,Amuwo-Odofin,15,120,51-250,50M-500M,Foreign-owned,1,1,1,0,0,5,2,4,2,3,3,1,4,1,12.0,3,1,1,1,1,Lean Six Sigma,54.1,40,0,5.2,Difficult,13.4,7,5,4,7,40.0,25.0,40.82,73.7,0.81
FIRM042,24/09/2025,SME,Oshodi/Isolo,12,96,51-250,<50M,Local,1,1,0,1,0,8,5,2,1,3,4,5,2,2,12.0,3,1,1,1,0,,51.7,29,0,7.1,Easy,32.2,5,6,7,4,40.0,25.0,39.85,76.4,0.91
FIRM043,08/09/2025,SME,Ikeja,1,27,1-50,<50M,Local,0,0,0,0,0,0,2,5,4,3,2,3,2,1,8.9,5,1,1,0,0,,48.6,24,0,15.5,Difficult,8.4,4,1,3,4,40.0,25.0,45.0,82.2,0.67
FIRM046,29/07/2025,SME,Amuwo-Odofin,6,85,51-250,500M-5B,Local,0,0,0,0,0,0,4,1,5,2,5,1,1,3,12.0,5,1,1,1,0,,76.3,7,0,5.5,Moderate,24.9,3,1,3,6,40.0,25.0,36.89,73.9,0.86
FIRM047,25/08/2025,SME,Apapa,1,73,51-250,50M-500M,Joint venture,1,0,0,1,0,6,5,1,3,1,5,5,4,5,12.0,2,0,1,1,0,,43.7,8,0,4.0,Difficult,35.1,5,7,5,6,40.0,25.0,45.0,79.4,1.36
FIRM052,20/06/2025,SME,Amuwo-Odofin,5,41,1-50,50M-500M,Local,0,0,0,0,0,0,1,4,4,5,3,2,4,5,12.0,4,1,1,1,1,Lean Six Sigma,55.8,27,0,8.8,Moderate,26.6,3,4,3,3,40.0,25.0,40.01,70.3,0.55
FIRM058,09/08/2025,SME,Ikeja,8,83,51-250,500M-5B,Local,0,0,0,0,0,0,3,5,5,2,2,3,3,2,12.0,2,0,0,1,0,,55.9,2,0,15.7,Easy,20.5,4,4,7,6,40.0,25.0,35.09,74.9,0.44
FIRM061,08/07/2025,SME,Apapa,13,69,51-250,50M-500M,Foreign-owned,1,1,1,1,0,8,3,4,3,1,5,1,2,4,12.0,5,0,0,1,0,,46.0,36,1,5.6,Easy,21.7,3,2,3,3,40.0,25.0,45.0,86.4,1.33
FIRM062,20/05/2025,SME,Apapa,2,21,1-50,500M-5B,Local,0,0,0,0,0,0,2,3,1,3,3,2,2,2,12.0,2,0,1,1,1,Lean Six Sigma,30.3,22,0,9.7,Easy,12.2,4,1,1,1,40.0,25.0,43.08,79.2,0.74
FIRM064,20/08/2025,SME,Apapa,17,211,51-250,500M-5B,Local,0,0,0,0,0,0,2,1,3,5,2,5,5,3,12.0,6,1,1,1,0,,60.8,63,1,1.5,Easy,32.7,2,5,2,5,40.0,25.0,45.0,81.5,1.14
FIRM067,25/07/2025,SME,Ikeja,18,73,51-250,<50M,Local,0,0,0,0,0,0,2,4,1,3,5,2,3,2,12.0,2,1,0,0,0,,53.9,52,1,3.7,Easy,11.0,4,3,1,4,40.0,25.0,41.35,72.4,0.77
FIRM069,19/06/2025,SME,Ikeja,16,95,51-250,<50M,Joint venture,1,0,0,1,1,11,5,5,5,5,4,3,2,4,12.0,2,0,0,1,0,,64.0,22,1,10.1,Easy,13.6,2,1,3,3,40.0,25.0,45.0,79.5,0.59
FIRM070,27/09/2025,SME,Ibeju-Lekki,9,245,51-250,50M-500M,Local,0,0,0,0,0,0,4,4,3,4,3,1,3,5,9.35,4,1,1,1,0,,45.4,23,1,8.7,Moderate,24.7,4,3,5,6,40.0,25.0,28.72,68.3,0.47
FIRM074,19/04/2025,SME,Ikorodu,15,36,1-50,500M-5B,Local,0,0,0,0,0,0,5,3,5,4,1,5,4,4,12.0,1,0,1,0,0,,77.0,36,0,10.0,Difficult,10.0,1,2,1,1,40.0,25.0,45.0,75.6,1.26
FIRM075,11/06/2025,SME,Amuwo-Odofin,13,59,51-250,<50M,Local,0,0,0,0,0,0,3,1,5,2,1,5,3,1,12.0,2,1,1,1,0,,39.2,44,1,6.7,Easy,8.5,2,4,2,1,40.0,25.0,39.51,79.4,0.8
FIRM076,26/04/2025,SME,Amuwo-Odofin,17,211,51-250,500M-5B,Joint venture,1,1,0,1,0,10,1,1,1,3,3,3,1,2,8.83,3,1,1,0,0,,85.8,4,0,6.4,Easy,9.6,4,5,4,5,40.0,25.0,33.82,75.2,0.67
FIRM077,31/08/2025,SME,Amuwo-Odofin,3,42,1-50,500M-5B,Local,1,0,1,1,0,2,4,4,3,2,2,3,1,3,12.0,1,1,1,1,0,,23.5,3,0,17.6,Moderate,19.2,6,6,2,3,40.0,25.0,44.89,77.8,0.59
FIRM078,20/08/2025,SME,Ikeja,13,70,51-250,50M-500M,Local,0,0,0,0,0,0,5,1,2,2,3,5,2,4,12.0,5,0,1,1,0,,62.8,17,0,12.8,Easy,17.2,3,5,3,2,40.0,25.0,45.0,74.3,0.56
FIRM079,14/06/2025,SME,Apapa,15,59,51-250,50M-500M,Local,1,1,0,0,0,1,1,1,5,4,4,4,5,1,12.0,3,0,1,0,0,,63.6,31,1,6.7,Easy,26.4,2,1,3,2,40.0,25.0,39.12,76.5,0.49
FIRM083,15/08/2025,SME,Apapa,7,43,1-50,50M-500M,Local,0,0,0,0,0,0,5,3,2,1,4,5,5,4,4.87,5,1,0,0,0,,40.7,30,0,11.9,Easy,27.5,3,3,1,2,40.0,25.0,32.27,79.4,1.28
FIRM084,26/06/2025,SME,Ikeja,13,125,51-250,<50M,Local,0,0,0,0,0,0,4,2,1,1,5,5,5,1,12.0,4,0,1,1,1,Lean Six Sigma,62.6,37,0,11.5,Difficult,23.3,2,2,2,2,40.0,25.0,39.69,75.9,0.32
FIRM085,30/08/2025,SME,Apapa,18,97,51-250,50M-500M,Local,1,0,1,1,0,2,5,3,2,1,2,2,4,2,11.0,2,1,1,1,0,,78.0,10,0,18.1,Difficult,22.1,6,3,7,7,40.0,25.0,35.37,70.2,0.67
FIRM086,06/07/2025,SME,Apapa,9,219,51-250,<50M,Foreign-owned,1,0,1,1,1,5,3,5,3,5,3,1,1,5,12.0,2,1,1,1,0,,15.1,2,0,6.6,Easy,22.0,6,7,6,6,40.0,25.0,45.0,80.4,0.4
FIRM090,29/06/2025,SME,Oshodi/Isolo,9,130,51-250,50M-500M,Foreign-owned,1,1,1,1,0,6,2,4,5,5,5,2,1,2,12.0,3,0,0,0,1,Lean Six Sigma,64.0,34,0,8.2,Moderate,29.1,4,2,4,5,40.0,25.0,45.0,76.4,1.45
FIRM091,01/10/2025,SME,Ikeja,11,107,51-250,500M-5B,Local,0,0,0,0,0,0,3,4,1,5,4,4,2,4,12.0,9,1,0,1,0,,10.1,14,0,17.2,Moderate,30.7,2,2,2,2,40.0,25.0,40.69,73.3,0.44
