experiment_id,binder_ratio_pct,peak_temp_C,dwell_time_min,cooling_rate_C_per_min,atmosphere,density_pct,porosity_pct,fracture_toughness_MPa_m05,grain_size_um,objective_score,is_pso_selected
SIN001,3.04,1235.5,159.3,1.177,air,87.5,12.78,3.879,6.44,0.7081,0
SIN002,4.87,1272.2,75.4,1.634,hydrogen,86.92,13.42,4.064,5.4,0.7034,0
SIN003,5.21,1254.3,46.8,1.07,air,87.96,12.39,4.198,4.15,0.7238,0
SIN004,2.45,1186.1,44.4,1.476,air,87.07,13.21,3.963,3.91,0.7035,0
SIN005,4.37,1304.2,95.5,1.038,hydrogen,88.3,10.98,4.078,5.51,0.7365,0
SIN006,3.35,1213.4,150.3,1.151,argon,85.22,14.98,3.831,5.72,0.671,0
SIN007,5.1,1309.9,36.5,1.157,air,90.37,9.28,3.931,4.44,0.7618,0
SIN008,2.41,1336.1,114.5,1.405,argon,88.49,12.15,4.193,6.54,0.7293,0
SIN009,3.17,1112.0,123.5,1.122,air,87.02,12.71,3.89,4.61,0.7062,0
SIN010,5.61,1115.8,41.2,1.435,air,84.68,14.8,3.907,3.88,0.6717,0
SIN011,5.15,1169.8,174.1,1.263,air,88.4,11.59,3.877,5.75,0.7253,0
SIN012,4.99,1116.4,103.7,1.401,argon,82.58,17.14,3.896,4.41,0.6354,0
SIN013,5.72,1264.3,41.2,1.442,hydrogen,87.55,12.8,4.076,5.11,0.7137,0
SIN014,1.67,1286.4,105.5,1.362,air,88.27,11.25,4.225,6.15,0.7378,0
SIN015,3.06,1134.9,171.6,1.25,air,86.72,13.11,4.068,6.63,0.7055,0
SIN016,5.57,1136.4,30.7,1.915,argon,87.41,12.36,3.755,2.51,0.7082,0
SIN017,5.81,1285.6,133.0,1.449,air,89.09,11.1,4.286,6.51,0.746,0
SIN018,1.07,1274.3,121.2,1.167,hydrogen,89.09,10.93,3.878,6.54,0.7361,0
SIN019,4.19,1177.0,49.2,1.92,hydrogen,87.42,13.05,3.957,4.01,0.707,0
SIN020,5.69,1344.5,123.2,1.289,air,90.06,9.75,4.263,6.93,0.7647,0
SIN021,3.81,1314.4,168.8,1.158,argon,88.98,10.72,3.987,7.86,0.7406,0
SIN022,3.93,1340.7,74.9,1.773,air,89.42,10.37,4.243,6.4,0.754,0
SIN023,5.45,1218.1,148.3,1.689,argon,86.19,13.82,3.7,6.38,0.6847,0
SIN024,2.39,1148.3,155.5,1.48,hydrogen,86.14,13.5,3.785,5.99,0.69,0
SIN025,2.53,1349.3,110.8,1.702,air,92.15,7.87,4.188,7.0,0.7938,1
SIN026,4.19,1266.1,78.6,1.71,argon,85.59,14.74,4.006,5.17,0.6806,0
SIN027,1.84,1155.6,114.7,1.834,air,86.8,13.12,3.828,4.31,0.699,0
SIN028,5.72,1118.3,87.5,1.162,argon,86.17,13.94,3.761,3.97,0.6851,0
SIN029,4.99,1113.6,112.8,1.713,argon,85.97,13.62,3.869,4.24,0.6901,0
SIN030,2.14,1320.9,110.0,1.03,air,87.68,12.8,3.993,6.33,0.7121,0
SIN031,5.45,1251.0,62.9,1.609,hydrogen,86.33,13.91,3.796,5.5,0.6873,0
SIN032,3.95,1268.2,168.9,1.983,hydrogen,87.11,13.29,3.955,6.79,0.7028,0
SIN033,1.48,1321.6,71.9,1.807,hydrogen,88.51,11.96,3.981,6.08,0.7252,0
SIN034,2.66,1205.4,135.1,1.449,air,88.01,12.02,4.059,6.36,0.7239,0
SIN035,3.13,1205.2,79.4,1.039,argon,85.61,14.49,3.817,5.12,0.6778,0
SIN036,5.21,1220.6,103.3,1.598,air,88.41,11.51,3.988,4.86,0.7293,0
SIN037,4.0,1326.7,98.3,1.615,air,88.65,11.37,4.423,6.02,0.7446,0
SIN038,2.63,1168.7,33.3,1.086,argon,84.43,15.32,3.789,4.31,0.6617,0
SIN039,4.53,1318.7,102.8,1.918,hydrogen,87.73,13.35,3.902,6.67,0.7043,0
SIN040,5.37,1254.2,85.5,1.041,argon,88.41,11.65,4.204,5.8,0.7341,0
SIN041,2.74,1105.7,90.1,1.635,hydrogen,86.23,13.49,3.719,3.59,0.6888,0
SIN042,5.48,1164.7,139.5,1.922,air,86.62,12.89,3.91,5.44,0.7025,0
SIN043,4.21,1164.5,57.9,1.644,argon,85.65,14.13,3.885,3.92,0.6836,0
SIN044,5.08,1187.7,158.7,1.285,hydrogen,87.62,12.55,3.677,6.5,0.7053,0
SIN045,1.58,1258.5,86.9,1.775,hydrogen,88.22,12.13,4.048,4.85,0.7236,0
