firm_code,stratum,zone,years_operation,employees,annual_revenue_cat,ownership_type,fdi_partnership,fdi_equity,fdi_joint_venture,fdi_technology_transfer,fdi_management_contract,years_with_fdi,registered_LCCI,sector
FIRM001,SME,Apapa,11,116,500M-5B,Local,True,True,True,True,False,9,True,Food Processing (NACE 10)
FIRM002,SME,Ibeju-Lekki,18,42,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM003,SME,Amuwo-Odofin,14,64,50M-500M,Foreign-owned,True,False,False,True,False,5,True,Food Processing (NACE 10)
FIRM004,SME,Oshodi/Isolo,8,43,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM005,SME,Ikeja,9,44,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM006,SME,Ikeja,3,48,50M-500M,Foreign-owned,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM007,SME,Ikeja,9,70,>5B,Local,True,False,False,True,True,10,True,Food Processing (NACE 10)
FIRM008,SME,Ikorodu,7,43,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM009,SME,Oshodi/Isolo,11,145,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM010,SME,Amuwo-Odofin,4,32,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM011,SME,Ikeja,12,53,50M-500M,Foreign-owned,True,False,False,True,True,3,True,Food Processing (NACE 10)
FIRM012,SME,Ibeju-Lekki,18,44,<50M,Local,True,False,True,False,False,4,True,Food Processing (NACE 10)
FIRM013,SME,Ikorodu,8,165,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM014,SME,Ikeja,11,69,500M-5B,Joint venture,True,True,True,False,False,3,True,Food Processing (NACE 10)
FIRM015,SME,Ikeja,13,124,<50M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM016,SME,Ikeja,7,21,50M-500M,Joint venture,True,True,False,True,False,7,True,Food Processing (NACE 10)
FIRM017,SME,Apapa,10,72,<50M,Local,True,False,False,True,False,4,True,Food Processing (NACE 10)
FIRM018,SME,Oshodi/Isolo,9,112,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM019,SME,Oshodi/Isolo,10,64,<50M,Joint venture,True,False,True,True,False,2,True,Food Processing (NACE 10)
FIRM020,SME,Apapa,4,126,50M-500M,Foreign-owned,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM021,SME,Oshodi/Isolo,9,42,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM022,SME,Ikeja,12,161,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM023,SME,Apapa,18,250,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM024,SME,Apapa,15,47,50M-500M,Joint venture,True,True,True,True,False,6,True,Food Processing (NACE 10)
FIRM025,SME,Oshodi/Isolo,22,44,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM026,SME,Amuwo-Odofin,4,166,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM027,SME,Ikeja,14,181,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM028,SME,Oshodi/Isolo,10,42,<50M,Local,True,False,False,True,False,9,True,Food Processing (NACE 10)
FIRM029,SME,Oshodi/Isolo,22,45,>5B,Foreign-owned,True,False,False,False,True,6,True,Food Processing (NACE 10)
FIRM030,SME,Ikeja,4,49,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM031,SME,Oshodi/Isolo,4,23,50M-500M,Foreign-owned,True,False,True,True,True,8,True,Food Processing (NACE 10)
FIRM032,SME,Ikeja,5,32,500M-5B,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM033,SME,Ikeja,1,30,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM034,SME,Ibeju-Lekki,6,35,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM035,SME,Ibeju-Lekki,4,59,<50M,Local,True,True,True,False,False,7,True,Food Processing (NACE 10)
FIRM036,SME,Ikorodu,10,71,50M-500M,Foreign-owned,True,False,True,True,False,9,True,Food Processing (NACE 10)
FIRM037,SME,Apapa,11,178,<50M,Local,True,True,True,False,False,7,True,Food Processing (NACE 10)
FIRM038,SME,Ikeja,20,30,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM039,SME,Amuwo-Odofin,15,120,50M-500M,Foreign-owned,True,True,True,False,False,5,True,Food Processing (NACE 10)
FIRM040,SME,Oshodi/Isolo,6,52,50M-500M,Local,True,False,False,True,False,6,True,Food Processing (NACE 10)
FIRM041,SME,Ikeja,4,58,<50M,Joint venture,True,False,True,True,True,12,True,Food Processing (NACE 10)
FIRM042,SME,Oshodi/Isolo,12,96,<50M,Local,True,True,False,True,False,8,True,Food Processing (NACE 10)
FIRM043,SME,Ikeja,1,27,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM044,SME,Ikorodu,20,78,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM045,SME,Ikeja,16,67,<50M,Foreign-owned,True,True,False,True,False,3,True,Food Processing (NACE 10)
FIRM046,SME,Amuwo-Odofin,6,85,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM047,SME,Apapa,1,73,50M-500M,Joint venture,True,False,False,True,False,6,True,Food Processing (NACE 10)
FIRM048,SME,Oshodi/Isolo,17,250,<50M,Joint venture,True,True,True,True,False,7,True,Food Processing (NACE 10)
FIRM049,SME,Oshodi/Isolo,8,38,50M-500M,Local,True,True,True,False,False,5,True,Food Processing (NACE 10)
FIRM050,SME,Ikeja,16,41,50M-500M,Joint venture,True,False,True,True,False,2,True,Food Processing (NACE 10)
FIRM051,SME,Ibeju-Lekki,1,39,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM052,SME,Amuwo-Odofin,5,41,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM053,SME,Ibeju-Lekki,9,38,500M-5B,Local,True,True,True,True,False,3,True,Food Processing (NACE 10)
FIRM054,SME,Ikorodu,9,138,50M-500M,Joint venture,True,False,True,True,False,5,True,Food Processing (NACE 10)
FIRM055,SME,Oshodi/Isolo,6,162,>5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM056,SME,Ibeju-Lekki,13,40,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM057,SME,Ikeja,3,34,<50M,Local,True,True,False,False,False,15,True,Food Processing (NACE 10)
FIRM058,SME,Ikeja,8,83,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM059,SME,Ikeja,10,41,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM060,SME,Apapa,12,93,500M-5B,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM061,SME,Apapa,13,69,50M-500M,Foreign-owned,True,True,True,True,False,8,True,Food Processing (NACE 10)
FIRM062,SME,Apapa,2,21,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM063,SME,Ikorodu,1,177,500M-5B,Joint venture,True,False,True,True,False,2,True,Food Processing (NACE 10)
FIRM064,SME,Apapa,17,211,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM065,SME,Apapa,11,39,50M-500M,Joint venture,True,False,False,True,False,6,True,Food Processing (NACE 10)
FIRM066,SME,Oshodi/Isolo,5,46,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM067,SME,Ikeja,18,73,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM068,SME,Ikorodu,10,76,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM069,SME,Ikeja,16,95,<50M,Joint venture,True,False,False,True,True,11,True,Food Processing (NACE 10)
FIRM070,SME,Ibeju-Lekki,9,245,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM071,SME,Amuwo-Odofin,21,53,<50M,Local,True,False,True,True,False,4,True,Food Processing (NACE 10)
FIRM072,SME,Ikeja,20,34,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM073,SME,Ikeja,8,23,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM074,SME,Ikorodu,15,36,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM075,SME,Amuwo-Odofin,13,59,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM076,SME,Amuwo-Odofin,17,211,500M-5B,Joint venture,True,True,False,True,False,10,True,Food Processing (NACE 10)
FIRM077,SME,Amuwo-Odofin,3,42,500M-5B,Local,True,False,True,True,False,2,True,Food Processing (NACE 10)
FIRM078,SME,Ikeja,13,70,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM079,SME,Apapa,15,59,50M-500M,Local,True,True,False,False,False,1,True,Food Processing (NACE 10)
FIRM080,SME,Ikeja,1,138,50M-500M,Joint venture,True,True,True,False,True,11,True,Food Processing (NACE 10)
FIRM081,SME,Ikorodu,2,250,<50M,Foreign-owned,True,False,False,False,True,4,True,Food Processing (NACE 10)
FIRM082,SME,Oshodi/Isolo,1,41,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM083,SME,Apapa,7,43,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM084,SME,Ikeja,13,125,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM085,SME,Apapa,18,97,50M-500M,Local,True,False,True,True,False,2,True,Food Processing (NACE 10)
FIRM086,SME,Apapa,9,219,<50M,Foreign-owned,True,False,True,True,True,5,True,Food Processing (NACE 10)
FIRM087,SME,Amuwo-Odofin,19,90,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM088,SME,Amuwo-Odofin,1,47,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM089,SME,Ikorodu,1,91,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM090,SME,Oshodi/Isolo,9,130,50M-500M,Foreign-owned,True,True,True,True,False,6,True,Food Processing (NACE 10)
FIRM091,SME,Ikeja,11,107,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM092,SME,Amuwo-Odofin,9,86,50M-500M,Local,True,False,False,False,True,7,True,Food Processing (NACE 10)
FIRM093,SME,Amuwo-Odofin,1,127,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM094,SME,Oshodi/Isolo,8,136,50M-500M,Foreign-owned,True,False,False,True,False,1,True,Food Processing (NACE 10)
FIRM095,SME,Amuwo-Odofin,1,158,50M-500M,Local,True,False,False,True,False,4,True,Food Processing (NACE 10)
FIRM096,SME,Oshodi/Isolo,13,94,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM097,SME,Oshodi/Isolo,11,53,50M-500M,Local,True,False,False,True,True,6,True,Food Processing (NACE 10)
FIRM098,SME,Apapa,3,66,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM099,SME,Ikeja,6,140,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM100,SME,Ikeja,3,34,50M-500M,Local,True,True,False,True,False,7,True,Food Processing (NACE 10)
FIRM101,SME,Ikeja,9,78,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM102,SME,Amuwo-Odofin,15,46,<50M,Local,True,True,True,False,False,3,True,Food Processing (NACE 10)
FIRM103,SME,Apapa,3,61,50M-500M,Local,True,False,False,False,True,5,True,Food Processing (NACE 10)
FIRM104,SME,Oshodi/Isolo,12,147,50M-500M,Foreign-owned,True,False,True,True,False,4,True,Food Processing (NACE 10)
FIRM105,SME,Ikorodu,6,69,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM106,SME,Ikeja,4,62,>5B,Joint venture,True,False,True,False,True,7,True,Food Processing (NACE 10)
FIRM107,SME,Apapa,8,23,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM108,SME,Amuwo-Odofin,3,101,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM109,SME,Ikeja,6,94,>5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM110,SME,Ikeja,2,250,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM111,SME,Apapa,21,48,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM112,SME,Ikeja,9,70,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM113,SME,Ibeju-Lekki,5,71,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM114,SME,Ikorodu,10,181,<50M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM115,SME,Amuwo-Odofin,8,56,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM116,SME,Ikorodu,8,73,<50M,Foreign-owned,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM117,SME,Ikorodu,13,92,50M-500M,Local,True,True,True,True,False,11,True,Food Processing (NACE 10)
FIRM118,SME,Ikeja,14,68,>5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM119,SME,Ikorodu,6,44,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM120,SME,Oshodi/Isolo,6,69,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM121,SME,Ikorodu,7,127,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM122,SME,Ikorodu,1,29,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM123,SME,Apapa,1,66,50M-500M,Local,True,True,False,False,True,5,True,Food Processing (NACE 10)
FIRM124,SME,Ikeja,17,37,50M-500M,Local,True,False,True,False,True,2,True,Food Processing (NACE 10)
FIRM125,SME,Ikeja,19,139,<50M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM126,SME,Apapa,8,21,500M-5B,Joint venture,True,True,True,True,True,4,True,Food Processing (NACE 10)
FIRM127,SME,Ikorodu,12,41,50M-500M,Joint venture,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM128,SME,Ikorodu,11,78,<50M,Foreign-owned,True,False,False,True,False,14,True,Food Processing (NACE 10)
FIRM129,SME,Ikeja,27,180,50M-500M,Foreign-owned,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM130,SME,Oshodi/Isolo,16,57,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM131,SME,Apapa,8,41,500M-5B,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
FIRM132,SME,Ikeja,3,224,50M-500M,Joint venture,True,True,True,True,True,3,True,Food Processing (NACE 10)
FIRM133,SME,Ikeja,1,22,50M-500M,Local,False,False,False,False,False,0,True,Food Processing (NACE 10)
