Sample_ID,Mix_ID,Temperature,Rubber_Content,Replicate,Field_Of_View,Analysis_Type,Measurement_Scale,Magnification,Porosity_Percent,Pore_Mean_Diameter_um,Pore_Diameter_StdDev_um,Pore_Count_Per_mm2,Crack_Density_mm_per_mm2,Crack_Mean_Width_um,Interface_Quality_Score,Aggregate_Bond_Quality_Score,Rubber_Particle_Count,Rubber_Morphology,CH_Crystallinity_Percent,CSH_Integrity_Score,Microcrack_Density_per_mm2,Surface_Roughness_Ra_um
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,1,SEM,Micro,1000,5.5,20.66,8.91,274,0.535,0.0,83.8,88.9,0,Intact,79.3,100.0,0.2,1.08
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,2,SEM,Micro,500,5.26,20.08,7.5,263,0.043,0.0,84.7,87.8,0,Intact,75.0,98.8,0.22,1.04
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,3,SEM,Micro,1000,4.95,22.83,9.42,247,0.0,0.0,82.2,89.1,0,Intact,72.9,98.9,-0.44,1.05
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,4,SEM,Micro,2000,5.03,23.99,9.92,251,0.0,0.0,79.9,87.3,0,Intact,75.0,99.9,0.1,1.06
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,5,SEM,Micro,500,4.51,19.5,7.34,225,0.395,0.0,84.9,85.8,0,Intact,75.5,97.8,0.13,1.06
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,1,SEM,Micro,500,4.47,19.35,8.67,223,0.281,0.0,85.6,89.7,0,Intact,76.5,99.6,-0.6,1.21
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,2,SEM,Micro,1000,5.16,20.12,9.23,258,0.0,0.0,85.9,90.0,0,Intact,71.4,98.7,0.39,1.17
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,3,SEM,Micro,5000,4.86,19.25,7.55,243,0.0,0.0,84.5,89.1,0,Intact,82.4,95.8,0.05,1.13
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,4,SEM,Micro,1000,5.99,19.9,7.15,299,0.0,0.0,86.0,90.0,0,Intact,72.9,100.0,-0.02,1.18
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,5,SEM,Micro,1000,5.09,19.21,7.43,254,0.216,0.0,81.5,87.3,0,Intact,74.9,95.2,-0.04,1.06
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,1,SEM,Micro,500,5.48,20.61,8.46,273,0.0,0.0,82.3,92.2,0,Intact,74.5,93.9,-0.06,1.08
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,2,SEM,Micro,5000,5.87,18.08,7.57,293,0.67,0.0,88.1,85.5,0,Intact,72.2,99.4,0.55,0.99
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,3,SEM,Micro,2000,5.95,18.13,7.84,297,0.735,0.0,82.2,88.2,0,Intact,74.8,97.4,0.52,0.99
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,4,SEM,Micro,2000,4.98,23.13,9.68,249,0.0,0.0,85.2,91.2,0,Intact,72.0,100.0,-0.02,1.15
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,5,SEM,Micro,2000,5.77,21.99,10.16,288,0.84,0.0,83.6,89.0,0,Intact,70.2,100.0,0.56,1.15
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,1,SEM,Micro,5000,6.86,29.63,12.71,342,1.162,0.09,78.4,84.7,0,Partially Melted,65.4,91.7,1.24,1.58
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,2,SEM,Micro,2000,7.39,29.82,11.11,369,0.914,0.06,80.4,88.8,0,Partially Melted,70.5,89.0,1.52,1.49
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,3,SEM,Micro,5000,6.99,28.33,11.19,349,0.887,0.2,76.1,86.7,0,Partially Melted,72.4,91.2,0.46,1.76
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,4,SEM,Micro,500,6.93,27.25,11.64,346,0.489,0.12,80.8,84.3,0,Partially Melted,68.5,89.7,1.8,1.69
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,5,SEM,Micro,1000,7.32,25.34,8.83,365,0.4,0.0,76.4,85.9,0,Partially Melted,76.6,89.2,0.4,1.84
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,1,SEM,Micro,2000,8.93,28.64,12.59,446,0.911,0.1,78.1,86.5,0,Partially Melted,68.9,90.5,0.65,1.96
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,2,SEM,Micro,2000,7.07,27.78,11.47,353,0.061,0.14,77.7,87.4,0,Partially Melted,70.8,90.1,0.6,1.99
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,3,SEM,Micro,1000,7.41,27.53,11.45,370,0.939,0.0,77.9,81.7,0,Partially Melted,68.9,96.2,1.19,1.9
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,4,SEM,Micro,5000,6.84,27.09,11.11,342,1.298,0.0,82.6,82.6,0,Partially Melted,71.9,90.2,0.84,1.83
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,5,SEM,Micro,500,7.39,25.65,10.2,369,0.0,0.0,78.2,82.5,0,Partially Melted,76.1,87.0,1.09,1.84
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,1,SEM,Micro,500,8.59,27.67,12.04,429,1.088,0.05,80.6,86.2,0,Partially Melted,74.3,88.1,1.35,1.87
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,2,SEM,Micro,500,7.04,28.38,11.24,351,0.479,0.03,80.5,84.1,0,Partially Melted,69.4,90.2,1.51,1.72
