Sample_ID,Mix_ID,Temperature_Range,Rubber_Content,Replicate,Analysis_Type,Measurement_Scale,Heating_Rate_C_per_min,Sample_Mass_mg,Atmosphere,Free_Water_Loss_Percent,Free_Water_Peak_Temp_C,Bound_Water_Loss_Percent,Bound_Water_Peak_Temp_C,Rubber_Decomposition_Loss_Percent,Rubber_Peak_Temp_C,CH_Decomposition_Loss_Percent,CH_Peak_Temp_C,CaCO3_Decomposition_Loss_Percent,CaCO3_Peak_Temp_C,Total_Mass_Loss_Percent,Residual_Mass_Percent,Max_DTG_Rate_Percent_per_min,Water_DTA_Peak_W_per_g,Rubber_DTA_Peak_W_per_g,CH_DTA_Peak_W_per_g,CaCO3_DTA_Peak_W_per_g,Onset_Decomposition_Temp_C,Final_Decomposition_Temp_C
C-0-28-R-25-Furnace-Rep1,C-0,25-900°C,0,1,TGA,Bulk,10,21.53,N2,2.82,108.0,3.76,198.8,0.0,,3.36,457.9,3.09,730.3,13.03,86.97,0.069,-48.89,,-179.67,-141.73,108.0,780.3
C-0-28-R-25-Furnace-Rep2,C-0,25-900°C,0,2,TGA,Bulk,10,20.41,N2,2.18,103.0,3.78,213.8,0.0,,5.63,468.4,2.92,705.2,14.5,85.5,0.102,-50.91,,-186.9,-152.34,103.0,755.2
C-0-28-R-25-Furnace-Rep3,C-0,25-900°C,0,3,TGA,Bulk,10,22.11,N2,2.79,104.5,3.79,216.4,0.0,,4.61,455.7,2.9,700.2,14.09,85.91,0.08,-46.84,,-182.84,-153.57,104.5,750.2
C-10-28-R-25-Furnace-Rep1,C-10,25-900°C,10,1,TGA,Bulk,10,19.55,N2,2.51,93.0,2.97,217.8,8.78,422.3,4.19,439.9,2.68,713.9,21.14,78.86,0.189,-53.17,-239.53,-205.18,-127.06,93.0,763.9
C-10-28-R-25-Furnace-Rep2,C-10,25-900°C,10,2,TGA,Bulk,10,18.44,N2,2.57,100.8,3.78,214.2,8.45,448.4,4.29,473.3,3.17,699.4,22.26,77.74,0.154,-52.98,-241.15,-178.02,-150.87,100.8,749.4
C-10-28-R-25-Furnace-Rep3,C-10,25-900°C,10,3,TGA,Bulk,10,16.22,N2,2.67,108.9,3.41,223.6,8.85,447.1,4.25,473.5,3.14,704.5,22.33,77.67,0.175,-57.79,-227.04,-204.44,-145.53,108.9,754.5
C-20-28-R-25-Furnace-Rep1,C-20,25-900°C,20,1,TGA,Bulk,10,22.54,N2,2.21,89.6,3.18,217.9,18.96,424.2,4.29,453.6,2.54,756.0,31.18,68.82,0.39,-46.32,-324.84,-176.35,-150.03,89.6,806.0
C-20-28-R-25-Furnace-Rep2,C-20,25-900°C,20,2,TGA,Bulk,10,20.49,N2,2.28,96.1,3.35,225.1,18.89,420.1,4.41,494.6,2.91,726.2,31.85,68.15,0.373,-42.41,-260.54,-185.83,-148.86,96.1,776.2
C-20-28-R-25-Furnace-Rep3,C-20,25-900°C,20,3,TGA,Bulk,10,21.59,N2,2.29,111.3,3.39,208.8,18.99,415.7,4.38,462.8,2.61,721.7,31.65,68.35,0.375,-50.06,-307.2,-175.97,-127.96,111.3,771.7
C-30-28-R-25-Furnace-Rep1,C-30,25-900°C,30,1,TGA,Bulk,10,18.98,N2,2.14,97.5,3.6,209.3,24.69,416.8,3.81,455.5,2.75,729.8,36.98,63.02,0.496,-49.95,-354.6,-207.2,-145.89,97.5,779.8
C-30-28-R-25-Furnace-Rep2,C-30,25-900°C,30,2,TGA,Bulk,10,16.87,N2,2.03,94.2,3.16,225.4,30.52,405.7,3.83,469.1,2.92,725.3,42.46,57.54,0.621,-56.42,-313.6,-144.2,-144.05,94.2,775.3
C-30-28-R-25-Furnace-Rep3,C-30,25-900°C,30,3,TGA,Bulk,10,16.28,N2,1.6,105.7,3.37,203.6,25.52,400.6,4.04,460.6,2.95,662.9,37.49,62.51,0.518,-45.72,-333.11,-176.15,-143.54,105.7,712.9
