Sample_ID,Mix_ID,Temperature,Rubber_Content,Replicate,Analysis_Type,Measurement_Scale,Scan_Range_2Theta,Step_Size_deg,Counting_Time_sec,C3S_Alite_Percent,C2S_Belite_Percent,CH_Portlandite_Percent,CaCO3_Calcite_Percent,CaO_Quicklime_Percent,Ettringite_Percent,Quartz_Percent,Amorphous_Content_Percent,Crystallinity_Index,Peak_Intensity_CH_d001,Peak_Width_FWHM_deg,Lattice_Parameter_Variation_Percent
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,XRD,Bulk,5-70°,0.02,2.0,3.55,5.67,16.68,2.69,0.89,3.41,24.24,42.87,57.13,978,0.143,0.076
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,XRD,Bulk,5-70°,0.02,2.0,2.75,6.81,17.66,3.27,0.74,2.98,25.11,40.69,59.31,1123,0.162,0.039
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,XRD,Bulk,5-70°,0.02,2.0,2.26,4.56,15.39,3.06,0.92,2.15,26.89,44.75,55.25,1105,0.149,0.074
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,XRD,Bulk,5-70°,0.02,2.0,3.24,5.2,15.81,3.43,-0.01,0.68,26.89,44.77,55.23,1091,0.168,0.16
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,XRD,Bulk,5-70°,0.02,2.0,4.1,4.66,15.74,3.25,0.74,0.6,24.89,46.01,53.99,916,0.174,0.243
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,XRD,Bulk,5-70°,0.02,2.0,3.02,3.63,16.89,3.18,0.79,0.6,27.68,44.2,55.8,1180,0.18,0.19
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,XRD,Bulk,5-70°,0.02,2.0,3.67,5.29,16.27,1.8,0.25,0.58,26.42,45.72,54.28,1045,0.216,0.47
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,XRD,Bulk,5-70°,0.02,2.0,2.26,4.85,15.54,2.86,0.46,0.44,24.62,48.98,51.02,919,0.171,0.605
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,XRD,Bulk,5-70°,0.02,2.0,3.07,4.34,15.29,1.86,0.85,0.9,25.78,47.91,52.09,1010,0.187,0.359
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,XRD,Bulk,5-70°,0.02,2.0,2.65,4.44,1.55,10.39,3.44,0.57,25.54,51.42,48.58,86,0.235,0.389
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,XRD,Bulk,5-70°,0.02,2.0,3.12,5.72,1.52,7.66,3.16,0.55,25.9,52.37,47.63,96,0.232,0.508
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,XRD,Bulk,5-70°,0.02,2.0,1.74,4.13,1.42,10.07,2.68,0.61,29.37,49.99,50.01,92,0.223,0.564
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,XRD,Bulk,5-70°,0.02,2.0,2.69,3.9,1.63,2.17,8.56,0.24,27.44,53.37,46.63,104,0.245,0.922
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,XRD,Bulk,5-70°,0.02,2.0,1.84,5.1,0.64,2.28,9.22,0.35,26.56,54.01,45.99,37,0.255,0.551
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,XRD,Bulk,5-70°,0.02,2.0,2.01,5.6,1.38,1.61,9.46,1.04,24.32,54.59,45.41,86,0.269,0.79
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,XRD,Bulk,5-70°,0.02,2.0,2.57,7.01,18.25,3.64,0.37,2.71,26.2,39.25,60.75,1195,0.162,-0.083
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,XRD,Bulk,5-70°,0.02,2.0,4.24,6.02,17.83,4.33,0.32,2.89,27.01,37.35,62.65,1042,0.178,-0.159
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,XRD,Bulk,5-70°,0.02,2.0,3.59,6.57,17.62,3.57,0.29,3.12,27.7,37.54,62.46,1025,0.163,0.03
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,XRD,Bulk,5-70°,0.02,2.0,3.18,6.04,16.2,3.81,0.49,0.84,27.59,41.85,58.15,915,0.178,0.117
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,XRD,Bulk,5-70°,0.02,2.0,2.93,4.97,15.04,4.8,0.91,1.04,25.85,44.46,55.54,794,0.168,0.108
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,XRD,Bulk,5-70°,0.02,2.0,3.53,4.73,16.8,3.48,1.01,0.22,28.3,41.94,58.06,1010,0.185,0.234
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,XRD,Bulk,5-70°,0.02,2.0,2.81,4.55,15.57,5.77,0.57,0.75,26.02,43.96,56.04,956,0.187,0.358
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,XRD,Bulk,5-70°,0.02,2.0,2.92,5.21,16.13,3.87,0.73,0.74,25.48,44.93,55.07,999,0.209,0.263
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,XRD,Bulk,5-70°,0.02,2.0,3.04,3.67,16.22,5.52,0.35,0.38,29.17,41.64,58.36,928,0.206,0.337
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,XRD,Bulk,5-70°,0.02,2.0,2.5,5.26,1.92,10.84,3.17,0.64,27.0,48.67,51.33,111,0.223,0.501
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,XRD,Bulk,5-70°,0.02,2.0,2.64,4.31,1.08,11.04,3.86,0.75,26.82,49.5,50.5,64,0.229,0.517
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,XRD,Bulk,5-70°,0.02,2.0,2.82,5.28,1.78,8.65,3.93,1.11,27.91,48.52,51.48,102,0.228,0.719
C-10-28-R-800-Furnace-Rep1,C-10,800,10,1,XRD,Bulk,5-70°,0.02,2.0,1.88,5.0,2.04,2.19,10.03,0.8,29.59,48.47,51.53,124,0.249,0.807
