Mix_ID,Temperature,Rubber_Content,SEM_Avg_Porosity_Percent,SEM_Avg_Crack_Density,SEM_Avg_Interface_Quality,XRD_CH_Content_Percent,XRD_Amorphous_Content_Percent,XRD_Crystallinity_Index,MicroCT_Total_Porosity_Percent,MicroCT_Connected_Porosity_Percent,MicroCT_Crack_Volume_Fraction,MicroCT_Tortuosity,Porosity_Consistency_SEM_vs_CT_Ratio,Degradation_Severity_Index
C-0,25,0,5.26,0.248,84.0,16.58,42.77,57.23,6.98,4.35,0.019,1.546,0.753,6.9
C-0,200,0,7.31,0.685,79.1,16.15,44.99,55.01,8.47,5.58,0.215,1.78,0.863,11.22
C-0,400,0,9.14,1.186,73.1,15.7,47.54,52.46,10.72,7.35,0.371,2.143,0.852,16.82
C-0,600,0,11.06,1.958,66.3,1.5,51.26,48.74,13.83,10.13,0.443,2.421,0.8,24.14
C-0,800,0,13.0,2.542,60.6,1.22,53.99,46.01,15.63,13.39,0.819,2.714,0.832,29.94
C-10,25,10,8.41,0.31,80.0,17.9,38.05,61.95,11.02,7.16,0.068,1.558,0.763,7.56
C-10,200,10,11.04,0.758,73.9,16.01,42.75,57.25,14.02,9.31,0.242,1.93,0.788,14.14
C-10,400,10,14.46,1.471,65.8,15.97,43.51,56.49,17.74,13.7,0.389,2.29,0.815,21.19
C-10,600,10,17.89,2.172,58.9,1.59,48.9,51.1,22.08,18.4,0.785,2.52,0.81,28.1
C-10,800,10,21.03,3.071,50.7,1.96,50.32,49.68,26.13,22.81,0.952,2.878,0.805,36.15
C-20,25,20,11.6,0.224,74.6,15.14,39.73,60.27,14.64,9.86,0.04,1.756,0.793,9.09
C-20,200,20,15.74,0.765,68.2,15.48,39.78,60.22,18.93,12.65,0.196,1.982,0.832,15.74
C-20,400,20,19.99,1.733,59.9,15.88,41.35,58.65,25.24,20.5,0.585,2.273,0.792,23.88
C-20,600,20,24.37,2.601,51.5,1.54,44.75,55.25,30.41,26.22,0.865,2.586,0.801,32.74
C-20,800,20,29.08,3.405,43.6,1.69,49.01,50.99,35.44,30.64,1.055,2.859,0.821,40.81
C-30,25,30,14.92,0.326,68.9,17.34,31.92,68.08,18.9,12.66,0.07,1.781,0.79,11.53
C-30,200,30,19.85,0.937,61.5,18.45,34.48,65.52,24.58,18.46,0.219,2.104,0.807,19.36
C-30,400,30,25.52,1.775,52.4,16.85,39.83,60.17,31.72,25.78,0.592,2.39,0.804,27.67
C-30,600,30,30.98,2.984,43.6,1.96,43.18,56.82,39.07,34.2,1.14,2.782,0.793,37.77
C-30,800,30,36.92,3.906,34.9,1.8,46.11,53.89,46.3,43.81,1.244,3.113,0.797,46.06
