pore_diameter_um,d_porosity_d_log10D,cumulative_porosity_pct
0.01,0.020654,0.0
0.010474,0.02418,0.0451
0.01097,0.028142,0.0976
0.01149,0.032558,0.1586
0.012034,0.037443,0.229
0.012604,0.042806,0.3097
0.013201,0.048646,0.4016
0.013826,0.054956,0.5057
0.014481,0.061716,0.6229
0.015167,0.068896,0.7542
0.015886,0.076455,0.9003
0.016638,0.08434,1.0619
0.017426,0.092486,1.2396
0.018252,0.100817,1.4339
0.019116,0.109247,1.645
0.020022,0.11768,1.8731
0.02097,0.126011,2.118
0.021964,0.134132,2.3794
0.023004,0.141928,2.6569
0.024094,0.149288,2.9496
0.025235,0.156097,3.2565
0.026431,0.162248,3.5764
0.027683,0.167641,3.908
0.028994,0.172186,4.2495
0.030368,0.175805,4.5992
0.031806,0.178435,4.9553
0.033313,0.18003,5.3155
0.034891,0.180562,5.6779
0.036544,0.180021,6.0403
0.038275,0.178416,6.4006
0.040088,0.175777,6.7565
0.041987,0.17215,7.1062
0.043976,0.167597,7.4477
0.046059,0.162196,7.7791
0.048241,0.156039,8.099
0.050526,0.149224,8.4058
0.05292,0.141861,8.6983
0.055427,0.13406,8.9756
0.058052,0.125937,9.2369
0.060802,0.117605,9.4817
0.063682,0.109172,9.7096
0.066699,0.100743,9.9206
0.069859,0.092412,10.1147
0.073168,0.084268,10.2923
0.076634,0.076386,10.4537
0.080264,0.06883,10.5997
0.084067,0.061654,10.7308
0.088049,0.054898,10.8479
0.09222,0.048593,10.952
0.096588,0.042757,11.0438
0.101164,0.037399,11.1243
0.105956,0.032519,11.1946
0.110975,0.028108,11.2555
0.116232,0.024153,11.3081
0.121738,0.020632,11.3531
0.127505,0.017522,11.3914
0.133545,0.014794,11.4239
0.139871,0.012421,11.4512
0.146497,0.01037,11.4741
0.153437,0.008613,11.4932
0.160705,0.007119,11.509
0.168318,0.00586,11.5221
0.176291,0.004809,11.5328
0.184642,0.003941,11.5416
0.193389,0.003233,11.5488
0.20255,0.002665,11.5547
0.212145,0.00222,11.5596
0.222195,0.001882,11.5638
0.23272,0.001637,11.5673
0.243744,0.001476,11.5704
0.255291,0.001388,11.5733
0.267384,0.001366,11.5761
0.28005,0.001404,11.5789
0.293317,0.001497,11.5818
0.307211,0.001642,11.5849
0.321764,0.001833,11.5884
0.337006,0.00207,11.5923
0.352971,0.002347,11.5968
0.369691,0.002662,11.6018
0.387204,0.003011,11.6075
0.405546,0.003389,11.614
0.424757,0.003791,11.6212
0.444878,0.004211,11.6292
0.465953,0.004642,11.6381
0.488025,0.005077,11.6479
0.511143,0.005508,11.6585
0.535357,0.005926,11.67
0.560717,0.006323,11.6823
0.587279,0.006689,11.6954
0.615099,0.007017,11.7092
0.644236,0.007298,11.7236
0.674754,0.007526,11.7385
0.706718,0.007695,11.7537
0.740196,0.007801,11.7693
0.77526,0.007841,11.785
0.811984,0.007814,11.8008
0.850449,0.007721,11.8164
0.890735,0.007564,11.8318
0.93293,0.007346,11.8467
0.977124,0.007074,11.8612
1.023411,0.006754,11.8751
1.071891,0.006394,11.8883
1.122668,0.006001,11.9008
1.17585,0.005584,11.9124
1.231551,0.005152,11.9232
1.28989,0.004713,11.9331
1.350994,0.004274,11.9422
1.414991,0.003843,11.9503
1.482021,0.003426,11.9576
1.552225,0.003028,11.9641
1.625756,0.002654,11.9698
1.702769,0.002306,11.9748
1.783431,0.001987,11.9791
1.867914,0.001697,11.9828
1.956398,0.001437,11.986
2.049075,0.001206,11.9886
2.146141,0.001004,11.9909
2.247806,0.000829,11.9927
2.354286,0.000678,11.9942
2.465811,0.00055,11.9955
2.582619,0.000443,11.9965
2.70496,0.000353,11.9973
2.833096,0.000279,11.9979
2.967302,0.000219,11.9984
3.107866,0.00017,11.9988
3.255089,0.000131,11.9991
3.409285,0.0001,11.9993
3.570786,7.6e-05,11.9995
3.739937,5.7e-05,11.9996
3.917101,4.2e-05,11.9997
4.102658,3.1e-05,11.9998
4.297005,2.3e-05,11.9999
4.500558,1.7e-05,11.9999
4.713753,1.2e-05,11.9999
4.937048,9e-06,12.0
5.17092,6e-06,12.0
5.415871,4e-06,12.0
5.672426,3e-06,12.0
5.941134,2e-06,12.0
6.222571,1e-06,12.0
6.51734,1e-06,12.0
6.826072,1e-06,12.0
7.149429,0.0,12.0
7.488104,0.0,12.0
7.842822,0.0,12.0
8.214344,0.0,12.0
8.603464,0.0,12.0
9.011018,0.0,12.0
9.437878,0.0,12.0
9.884959,0.0,12.0
10.353218,0.0,12.0
10.84366,0.0,12.0
11.357334,0.0,12.0
11.895341,0.0,12.0
12.458834,0.0,12.0
13.04902,0.0,12.0
13.667164,0.0,12.0
14.314589,0.0,12.0
14.992684,0.0,12.0
15.702901,0.0,12.0
16.446762,0.0,12.0
17.22586,0.0,12.0
18.041864,0.0,12.0
18.896523,0.0,12.0
19.791669,0.0,12.0
20.729218,0.0,12.0
21.711179,0.0,12.0
22.739658,0.0,12.0
23.816856,0.0,12.0
24.945081,0.0,12.0
26.126752,0.0,12.0
27.3644,0.0,12.0
28.660676,0.0,12.0
30.018358,0.0,12.0
31.440355,0.0,12.0
32.929713,0.0,12.0
34.489623,0.0,12.0
36.123427,0.0,12.0
37.834626,0.0,12.0
39.626886,0.0,12.0
41.504048,0.0,12.0
43.470132,0.0,12.0
45.529351,0.0,12.0
47.686117,0.0,12.0
49.945051,0.0,12.0
52.310993,0.0,12.0
54.789012,0.0,12.0
57.384416,0.0,12.0
60.102768,0.0,12.0
62.94989,0.0,12.0
65.931883,0.0,12.0
69.055135,0.0,12.0
