pore_diameter_um,d_porosity_d_log10D,cumulative_porosity_pct
0.01,0.017564,0.0
0.010474,0.020563,0.0383
0.01097,0.023932,0.083
0.01149,0.027687,0.1349
0.012034,0.031841,0.1947
0.012604,0.036402,0.2633
0.013201,0.041369,0.3415
0.013826,0.046734,0.43
0.014481,0.052483,0.5297
0.015167,0.058589,0.6414
0.015886,0.065017,0.7656
0.016638,0.071722,0.903
0.017426,0.07865,1.0542
0.018252,0.085735,1.2194
0.019116,0.092903,1.3989
0.020022,0.100074,1.5929
0.02097,0.107159,1.8011
0.021964,0.114065,2.0235
0.023004,0.120695,2.2594
0.024094,0.126953,2.5083
0.025235,0.132744,2.7693
0.026431,0.137975,3.0414
0.027683,0.142561,3.3233
0.028994,0.146426,3.6138
0.030368,0.149504,3.9112
0.031806,0.15174,4.2139
0.033313,0.153097,4.5203
0.034891,0.153549,4.8285
0.036544,0.153089,5.1367
0.038275,0.151724,5.443
0.040088,0.14948,5.7457
0.041987,0.146395,6.0431
0.043976,0.142524,6.3335
0.046059,0.137931,6.6153
0.048241,0.132695,6.8873
0.050526,0.1269,7.1482
0.05292,0.120638,7.397
0.055427,0.114004,7.6328
0.058052,0.107097,7.855
0.060802,0.100011,8.0632
0.063682,0.092839,8.257
0.066699,0.085671,8.4364
0.069859,0.078587,8.6015
0.073168,0.071661,8.7525
0.076634,0.064958,8.8898
0.080264,0.058533,9.0139
0.084067,0.05243,9.1254
0.088049,0.046685,9.225
0.09222,0.041323,9.3135
0.096588,0.03636,9.3916
0.101164,0.031803,9.4601
0.105956,0.027653,9.5198
0.110975,0.023901,9.5716
0.116232,0.020537,9.6163
0.121738,0.017541,9.6546
0.127505,0.014895,9.6872
0.133545,0.012573,9.7148
0.139871,0.010552,9.738
0.146497,0.008805,9.7575
0.153437,0.007305,9.7737
0.160705,0.006028,9.7871
0.168318,0.004949,9.7981
0.176291,0.004044,9.8071
0.184642,0.003292,9.8145
0.193389,0.002672,9.8205
0.20255,0.002167,9.8254
0.212145,0.00176,9.8293
0.222195,0.001439,9.8325
0.23272,0.001189,9.8352
0.243744,0.001002,9.8374
0.255291,0.000868,9.8392
0.267384,0.000779,9.8409
0.28005,0.00073,9.8424
0.293317,0.000715,9.8439
0.307211,0.000729,9.8453
0.321764,0.000771,9.8468
0.337006,0.000836,9.8484
0.352971,0.000921,9.8502
0.369691,0.001024,9.8522
0.387204,0.001144,9.8543
0.405546,0.001276,9.8568
0.424757,0.00142,9.8595
0.444878,0.001571,9.8625
0.465953,0.001728,9.8658
0.488025,0.001888,9.8694
0.511143,0.002046,9.8734
0.535357,0.0022,9.8777
0.560717,0.002346,9.8822
0.587279,0.002481,9.8871
0.615099,0.002602,9.8922
0.644236,0.002706,9.8975
0.674754,0.00279,9.903
0.706718,0.002853,9.9087
0.740196,0.002892,9.9145
0.77526,0.002907,9.9203
0.811984,0.002897,9.9262
0.850449,0.002862,9.9319
0.890735,0.002804,9.9376
0.93293,0.002723,9.9432
0.977124,0.002622,9.9486
1.023411,0.002504,9.9537
1.071891,0.00237,9.9586
1.122668,0.002224,9.9632
1.17585,0.00207,9.9675
1.231551,0.00191,9.9715
1.28989,0.001747,9.9752
1.350994,0.001584,9.9786
1.414991,0.001425,9.9816
1.482021,0.00127,9.9843
1.552225,0.001123,9.9867
1.625756,0.000984,9.9888
1.702769,0.000855,9.9907
1.783431,0.000736,9.9923
1.867914,0.000629,9.9936
1.956398,0.000533,9.9948
2.049075,0.000447,9.9958
2.146141,0.000372,9.9966
2.247806,0.000307,9.9973
2.354286,0.000251,9.9979
2.465811,0.000204,9.9983
2.582619,0.000164,9.9987
2.70496,0.000131,9.999
2.833096,0.000103,9.9992
2.967302,8.1e-05,9.9994
3.107866,6.3e-05,9.9996
3.255089,4.9e-05,9.9997
3.409285,3.7e-05,9.9997
3.570786,2.8e-05,9.9998
3.739937,2.1e-05,9.9999
3.917101,1.6e-05,9.9999
4.102658,1.2e-05,9.9999
4.297005,9e-06,9.9999
4.500558,6e-06,10.0
4.713753,4e-06,10.0
4.937048,3e-06,10.0
5.17092,2e-06,10.0
5.415871,2e-06,10.0
5.672426,1e-06,10.0
5.941134,1e-06,10.0
6.222571,1e-06,10.0
6.51734,0.0,10.0
6.826072,0.0,10.0
7.149429,0.0,10.0
7.488104,0.0,10.0
7.842822,0.0,10.0
8.214344,0.0,10.0
8.603464,0.0,10.0
9.011018,0.0,10.0
9.437878,0.0,10.0
9.884959,0.0,10.0
10.353218,0.0,10.0
10.84366,0.0,10.0
11.357334,0.0,10.0
11.895341,0.0,10.0
12.458834,0.0,10.0
13.04902,0.0,10.0
13.667164,0.0,10.0
14.314589,0.0,10.0
14.992684,0.0,10.0
15.702901,0.0,10.0
16.446762,0.0,10.0
17.22586,0.0,10.0
18.041864,0.0,10.0
18.896523,0.0,10.0
19.791669,0.0,10.0
20.729218,0.0,10.0
21.711179,0.0,10.0
22.739658,0.0,10.0
23.816856,0.0,10.0
24.945081,0.0,10.0
26.126752,0.0,10.0
27.3644,0.0,10.0
28.660676,0.0,10.0
30.018358,0.0,10.0
31.440355,0.0,10.0
32.929713,0.0,10.0
34.489623,0.0,10.0
36.123427,0.0,10.0
37.834626,0.0,10.0
39.626886,0.0,10.0
41.504048,0.0,10.0
43.470132,0.0,10.0
45.529351,0.0,10.0
47.686117,0.0,10.0
49.945051,0.0,10.0
52.310993,0.0,10.0
54.789012,0.0,10.0
57.384416,0.0,10.0
60.102768,0.0,10.0
62.94989,0.0,10.0
65.931883,0.0,10.0
69.055135,0.0,10.0
72.326339,0.0,10.0
75.752503,0.0,10.0
79.340967,0.0,10.0
83.099419,0.0,10.0
87.035914,0.0,10.0
91.158883,0.0,10.0
95.477161,0.0,10.0
100.0,0.0,10.0
