pore_diameter_um,d_porosity_d_log10D,cumulative_porosity_pct
0.01,0.023186,0.0
0.010474,0.027145,0.0506
0.01097,0.031592,0.1096
0.01149,0.036549,0.1781
0.012034,0.042033,0.2571
0.012604,0.048054,0.3476
0.013201,0.05461,0.4508
0.013826,0.061694,0.5677
0.014481,0.069282,0.6993
0.015167,0.077342,0.8467
0.015886,0.085828,1.0107
0.016638,0.09468,1.1921
0.017426,0.103825,1.3916
0.018252,0.113177,1.6097
0.019116,0.122641,1.8467
0.020022,0.132107,2.1027
0.02097,0.14146,2.3777
0.021964,0.150576,2.6712
0.023004,0.159329,2.9826
0.024094,0.16759,3.3112
0.025235,0.175234,3.6557
0.026431,0.18214,4.0149
0.027683,0.188194,4.3871
0.028994,0.193296,4.7705
0.030368,0.197359,5.1631
0.031806,0.200311,5.5628
0.033313,0.202102,5.9672
0.034891,0.202699,6.3741
0.036544,0.202091,6.7809
0.038275,0.20029,7.1853
0.040088,0.197327,7.5849
0.041987,0.193255,7.9774
0.043976,0.188144,8.3608
0.046059,0.182082,8.7328
0.048241,0.175169,9.0919
0.050526,0.167519,9.4363
0.05292,0.159253,9.7647
0.055427,0.150496,10.076
0.058052,0.141377,10.3694
0.060802,0.132023,10.6441
0.063682,0.122556,10.9
0.066699,0.113094,11.1368
0.069859,0.103742,11.3548
0.073168,0.0946,11.5541
0.076634,0.085751,11.7353
0.080264,0.077269,11.8992
0.084067,0.069213,12.0464
0.088049,0.06163,12.1779
0.09222,0.054552,12.2947
0.096588,0.048001,12.3977
0.101164,0.041987,12.4882
0.105956,0.036509,12.5671
0.110975,0.031559,12.6355
0.116232,0.027121,12.6945
0.121738,0.023171,12.745
0.127505,0.019684,12.7881
0.133545,0.016627,12.8246
0.139871,0.01397,12.8553
0.146497,0.011678,12.8811
0.153437,0.009719,12.9026
0.160705,0.008059,12.9205
0.168318,0.006668,12.9353
0.176291,0.005516,12.9475
0.184642,0.004578,12.9577
0.193389,0.00383,12.9661
0.20255,0.00325,12.9732
0.212145,0.002822,12.9793
0.222195,0.002531,12.9847
0.23272,0.002363,12.9896
0.243744,0.00231,12.9943
0.255291,0.002365,12.999
0.267384,0.002521,13.0039
0.28005,0.002775,13.0092
0.293317,0.003123,13.0152
0.307211,0.003564,13.0219
0.321764,0.004094,13.0296
0.337006,0.004711,13.0384
0.352971,0.005411,13.0486
0.369691,0.006189,13.0603
0.387204,0.007038,13.0736
0.405546,0.00795,13.0886
0.424757,0.008914,13.1056
0.444878,0.009916,13.1245
0.465953,0.010943,13.1455
0.488025,0.011976,13.1685
0.511143,0.012998,13.1936
0.535357,0.013988,13.2207
0.560717,0.014927,13.2498
0.587279,0.015793,13.2807
0.615099,0.016568,13.3132
0.644236,0.017234,13.3472
0.674754,0.017773,13.3823
0.706718,0.018172,13.4185
0.740196,0.018423,13.4552
0.77526,0.018517,13.4924
0.811984,0.018454,13.5295
0.850449,0.018233,13.5664
0.890735,0.017862,13.6027
0.93293,0.017349,13.6381
0.977124,0.016707,13.6723
1.023411,0.015951,13.7051
1.071891,0.0151,13.7363
1.122668,0.014172,13.7657
1.17585,0.013187,13.7932
1.231551,0.012167,13.8187
1.28989,0.011129,13.8421
1.350994,0.010093,13.8635
1.414991,0.009076,13.8827
1.482021,0.008091,13.9
1.552225,0.007152,13.9153
1.625756,0.006268,13.9288
1.702769,0.005446,13.9406
1.783431,0.004692,13.9507
1.867914,0.004007,13.9595
1.956398,0.003394,13.9669
2.049075,0.002849,13.9732
2.146141,0.002372,13.9784
2.247806,0.001958,13.9828
2.354286,0.001602,13.9864
2.465811,0.0013,13.9893
2.582619,0.001045,13.9916
2.70496,0.000834,13.9935
2.833096,0.000659,13.995
2.967302,0.000517,13.9962
3.107866,0.000402,13.9971
3.255089,0.00031,13.9979
3.409285,0.000237,13.9984
3.570786,0.000179,13.9988
3.739937,0.000135,13.9991
3.917101,0.0001,13.9994
4.102658,7.4e-05,13.9995
4.297005,5.4e-05,13.9997
4.500558,3.9e-05,13.9998
4.713753,2.8e-05,13.9998
4.937048,2e-05,13.9999
5.17092,1.4e-05,13.9999
5.415871,1e-05,13.9999
5.672426,7e-06,14.0
5.941134,5e-06,14.0
6.222571,3e-06,14.0
6.51734,2e-06,14.0
6.826072,1e-06,14.0
7.149429,1e-06,14.0
7.488104,1e-06,14.0
7.842822,0.0,14.0
8.214344,0.0,14.0
8.603464,0.0,14.0
9.011018,0.0,14.0
9.437878,0.0,14.0
9.884959,0.0,14.0
10.353218,0.0,14.0
10.84366,0.0,14.0
11.357334,0.0,14.0
11.895341,0.0,14.0
12.458834,0.0,14.0
13.04902,0.0,14.0
13.667164,0.0,14.0
14.314589,0.0,14.0
14.992684,0.0,14.0
15.702901,0.0,14.0
16.446762,0.0,14.0
17.22586,0.0,14.0
18.041864,0.0,14.0
18.896523,0.0,14.0
19.791669,0.0,14.0
20.729218,0.0,14.0
21.711179,0.0,14.0
22.739658,0.0,14.0
23.816856,0.0,14.0
24.945081,0.0,14.0
26.126752,0.0,14.0
27.3644,0.0,14.0
28.660676,0.0,14.0
30.018358,0.0,14.0
31.440355,0.0,14.0
32.929713,0.0,14.0
34.489623,0.0,14.0
36.123427,0.0,14.0
37.834626,0.0,14.0
39.626886,0.0,14.0
41.504048,0.0,14.0
43.470132,0.0,14.0
45.529351,0.0,14.0
47.686117,0.0,14.0
49.945051,0.0,14.0
52.310993,0.0,14.0
54.789012,0.0,14.0
57.384416,0.0,14.0
60.102768,0.0,14.0
62.94989,0.0,14.0
65.931883,0.0,14.0
69.055135,0.0,14.0
72.326339,0.0,14.0
75.752503,0.0,14.0
79.340967,0.0,14.0
83.099419,0.0,14.0
87.035914,0.0,14.0
91.158883,0.0,14.0
95.477161,0.0,14.0
100.0,0.0,14.0
