pore_diameter_um,d_porosity_d_log10D,cumulative_porosity_pct
0.01,0.023936,0.0
0.010474,0.028024,0.0522
0.01097,0.032615,0.1132
0.01149,0.037732,0.1839
0.012034,0.043394,0.2654
0.012604,0.049609,0.3589
0.013201,0.056378,0.4654
0.013826,0.063691,0.5861
0.014481,0.071525,0.722
0.015167,0.079846,0.8741
0.015886,0.088606,1.0434
0.016638,0.097745,1.2307
0.017426,0.107186,1.4366
0.018252,0.116841,1.6618
0.019116,0.126611,1.9065
0.020022,0.136384,2.1708
0.02097,0.146039,2.4546
0.021964,0.15545,2.7576
0.023004,0.164487,3.0792
0.024094,0.173015,3.4184
0.025235,0.180907,3.7741
0.026431,0.188036,4.1449
0.027683,0.194286,4.5291
0.028994,0.199554,4.9249
0.030368,0.203748,5.3303
0.031806,0.206796,5.7429
0.033313,0.208644,6.1604
0.034891,0.20926,6.5804
0.036544,0.208633,7.0004
0.038275,0.206774,7.4179
0.040088,0.203715,7.8304
0.041987,0.199511,8.2357
0.043976,0.194235,8.6314
0.046059,0.187976,9.0155
0.048241,0.18084,9.3862
0.050526,0.172942,9.7418
0.05292,0.164408,10.0808
0.055427,0.155368,10.4022
0.058052,0.145954,10.705
0.060802,0.136297,10.9887
0.063682,0.126524,11.2528
0.066699,0.116755,11.4973
0.069859,0.107101,11.7223
0.073168,0.097662,11.9281
0.076634,0.088528,12.1152
0.080264,0.079771,12.2844
0.084067,0.071455,12.4364
0.088049,0.063627,12.5721
0.09222,0.056321,12.6927
0.096588,0.049559,12.7991
0.101164,0.043353,12.8925
0.105956,0.037701,12.9739
0.110975,0.032595,13.0446
0.116232,0.028019,13.1055
0.121738,0.02395,13.1577
0.127505,0.020361,13.2023
0.133545,0.017222,13.24
0.139871,0.0145,13.2719
0.146497,0.012163,13.2987
0.153437,0.010178,13.3212
0.160705,0.008515,13.34
0.168318,0.007144,13.3557
0.176291,0.006039,13.369
0.184642,0.005177,13.3802
0.193389,0.00454,13.39
0.20255,0.004111,13.3987
0.212145,0.003879,13.4067
0.222195,0.003835,13.4145
0.23272,0.003975,13.4223
0.243744,0.004297,13.4306
0.255291,0.004802,13.4398
0.267384,0.005493,13.4501
0.28005,0.006372,13.462
0.293317,0.007445,13.4759
0.307211,0.008714,13.4922
0.321764,0.010182,13.5112
0.337006,0.011848,13.5333
0.352971,0.013707,13.559
0.369691,0.015752,13.5886
0.387204,0.017967,13.6225
0.405546,0.020334,13.661
0.424757,0.022828,13.7044
0.444878,0.025416,13.7528
0.465953,0.028062,13.8066
0.488025,0.030722,13.8657
0.511143,0.033351,13.9301
0.535357,0.035897,13.9997
0.560717,0.03831,14.0742
0.587279,0.040537,14.1535
0.615099,0.042527,14.237
0.644236,0.044236,14.3242
0.674754,0.04562,14.4145
0.706718,0.046647,14.5072
0.740196,0.04729,14.6016
0.77526,0.047533,14.6969
0.811984,0.04737,14.7923
0.850449,0.046804,14.8869
0.890735,0.045851,14.9801
0.93293,0.044534,15.0709
0.977124,0.042886,15.1588
1.023411,0.040946,15.243
1.071891,0.03876,15.3231
1.122668,0.036379,15.3986
1.17585,0.033852,15.4692
1.231551,0.031232,15.5346
1.28989,0.028569,15.5947
1.350994,0.02591,15.6495
1.414991,0.023298,15.6989
1.482021,0.02077,15.7432
1.552225,0.018359,15.7826
1.625756,0.016089,15.8172
1.702769,0.01398,15.8474
1.783431,0.012043,15.8736
1.867914,0.010287,15.896
1.956398,0.008711,15.9151
2.049075,0.007314,15.9312
2.146141,0.006089,15.9447
2.247806,0.005025,15.9558
2.354286,0.004112,15.965
2.465811,0.003336,15.9725
2.582619,0.002684,15.9786
2.70496,0.00214,15.9834
2.833096,0.001692,15.9873
2.967302,0.001327,15.9903
3.107866,0.001031,15.9927
3.255089,0.000795,15.9945
3.409285,0.000607,15.9959
3.570786,0.00046,15.997
3.739937,0.000346,15.9978
3.917101,0.000257,15.9984
4.102658,0.00019,15.9988
4.297005,0.000139,15.9992
4.500558,0.000101,15.9994
4.713753,7.3e-05,15.9996
4.937048,5.2e-05,15.9997
5.17092,3.7e-05,15.9998
5.415871,2.6e-05,15.9999
5.672426,1.8e-05,15.9999
5.941134,1.2e-05,15.9999
6.222571,8e-06,16.0
6.51734,6e-06,16.0
6.826072,4e-06,16.0
7.149429,3e-06,16.0
7.488104,2e-06,16.0
7.842822,1e-06,16.0
8.214344,1e-06,16.0
8.603464,0.0,16.0
9.011018,0.0,16.0
9.437878,0.0,16.0
9.884959,0.0,16.0
10.353218,0.0,16.0
10.84366,0.0,16.0
11.357334,0.0,16.0
11.895341,0.0,16.0
12.458834,0.0,16.0
13.04902,0.0,16.0
13.667164,0.0,16.0
14.314589,0.0,16.0
14.992684,0.0,16.0
15.702901,0.0,16.0
16.446762,0.0,16.0
17.22586,0.0,16.0
18.041864,0.0,16.0
18.896523,0.0,16.0
19.791669,0.0,16.0
20.729218,0.0,16.0
21.711179,0.0,16.0
22.739658,0.0,16.0
23.816856,0.0,16.0
24.945081,0.0,16.0
26.126752,0.0,16.0
27.3644,0.0,16.0
28.660676,0.0,16.0
30.018358,0.0,16.0
31.440355,0.0,16.0
32.929713,0.0,16.0
34.489623,0.0,16.0
36.123427,0.0,16.0
37.834626,0.0,16.0
39.626886,0.0,16.0
41.504048,0.0,16.0
43.470132,0.0,16.0
45.529351,0.0,16.0
47.686117,0.0,16.0
