specimen,operation_hours,roi_id,region,crack_density_per_mm2,avg_crack_length_um,avg_crack_width_um,max_crack_length_um,magnification,accelerating_voltage_kV
pristine,0,1,anode,0.053454721383832955,10.619837998275223,0.34486045918358804,18.26021588842795,5000x,15
pristine,0,1,electrolyte,0.010953288913469635,10.92389451005494,0.43206371495708906,18.960751175920844,5000x,15
pristine,0,1,cathode,0.10108319789885872,8.336061807800228,0.5126970891608617,15.413913677502316,5000x,15
pristine,0,1,interface_ae,0.1835027877895235,11.892565186504168,0.6339215634928302,25.4584423347006,5000x,15
pristine,0,1,interface_ec,0.0,0.0,0.0,0.0,5000x,15
pristine,0,2,anode,0.3759379913988652,14.369630826295602,0.5754634152696312,27.454928687180075,5000x,15
pristine,0,2,electrolyte,0.0,0.0,0.0,0.0,5000x,15
pristine,0,2,cathode,0.0,0.0,0.0,0.0,5000x,15
pristine,0,2,interface_ae,0.08123335880786246,9.922054995243231,0.5154412821394069,18.76762945941541,5000x,15
pristine,0,2,interface_ec,0.01700658523022583,10.346069100246376,0.6061548340222092,17.805894035295662,5000x,15
pristine,0,3,anode,0.06255207894444319,8.366181439339988,0.5201367910437371,16.346785840252103,5000x,15
pristine,0,3,electrolyte,0.0,0.0,0.0,0.0,5000x,15
pristine,0,3,cathode,0.1464451224562247,9.291436056203944,0.5226436385820019,19.426871362003926,5000x,15
pristine,0,3,interface_ae,0.2982430770230907,11.12775434932906,0.48574160677420697,15.478612276579614,5000x,15
pristine,0,3,interface_ec,0.0,0.0,0.0,0.0,5000x,15
pristine,0,4,anode,0.0,0.0,0.0,0.0,5000x,15
pristine,0,4,electrolyte,0.37974264609293845,10.941896608234648,0.5879859934166441,20.322226713951896,5000x,15
pristine,0,4,cathode,0.09501638519816871,11.006571397893051,0.6620738097628769,21.655103963812554,5000x,15
pristine,0,4,interface_ae,0.0,0.0,0.0,0.0,5000x,15
pristine,0,4,interface_ec,0.13081043104336199,13.747088056322884,0.5901221057105669,22.270881469045428,5000x,15
pristine,0,5,anode,0.32401388008077414,14.499182180714572,0.5803032277423914,32.30584994935694,5000x,15
pristine,0,5,electrolyte,0.0,0.0,0.0,0.0,5000x,15
pristine,0,5,cathode,0.0,0.0,0.0,0.0,5000x,15
pristine,0,5,interface_ae,0.0,0.0,0.0,0.0,5000x,15
pristine,0,5,interface_ec,0.037642192415258936,9.850889701172749,0.4773987198360601,19.325556884959003,5000x,15
pristine,0,6,anode,0.39083547092310816,10.116271441147704,0.5079488413716818,20.445476224111836,5000x,15
pristine,0,6,electrolyte,0.0,0.0,0.0,0.0,5000x,15
pristine,0,6,cathode,0.01842827561965547,12.42041887975258,0.6683988627695182,23.475741335468946,5000x,15
pristine,0,6,interface_ae,0.4846904681349399,13.947365511024973,0.697057418749486,28.860361253851792,5000x,15
pristine,0,6,interface_ec,0.0,0.0,0.0,0.0,5000x,15
pristine,0,7,anode,0.19545740436458298,10.687970187510258,0.3784394778207818,20.68940033882327,5000x,15
pristine,0,7,electrolyte,0.1908433540703013,6.695710170004337,0.5721135188194476,8.50561129316257,5000x,15
pristine,0,7,cathode,0.10309090368330946,14.948781565595748,0.46812355312271964,28.957806823878332,5000x,15
pristine,0,7,interface_ae,0.4822574220594329,14.066313038425687,0.649216421082859,29.737014591829286,5000x,15
pristine,0,7,interface_ec,0.0,0.0,0.0,0.0,5000x,15
pristine,0,8,anode,0.24523434180264012,10.939467407413115,0.6407864019146494,22.911419233445073,5000x,15
pristine,0,8,electrolyte,0.46707607757921404,10.905985134363515,0.6986348669539724,14.362415979391832,5000x,15
pristine,0,8,cathode,0.07186529405738036,8.8772984508756,0.4485428657259094,19.53687238436936,5000x,15
pristine,0,8,interface_ae,0.0,0.0,0.0,0.0,5000x,15
pristine,0,8,interface_ec,0.0,0.0,0.0,0.0,5000x,15
pristine,0,9,anode,0.0,0.0,0.0,0.0,5000x,15
pristine,0,9,electrolyte,0.0,0.0,0.0,0.0,5000x,15
pristine,0,9,cathode,0.1797528071079531,10.619197552776498,0.5411906372839661,20.293392967435025,5000x,15
pristine,0,9,interface_ae,0.0,0.0,0.0,0.0,5000x,15
pristine,0,9,interface_ec,0.0,0.0,0.0,0.0,5000x,15
pristine,0,10,anode,0.19342484250130415,10.461981847027946,0.4331279635680416,18.923274857016754,5000x,15
pristine,0,10,electrolyte,0.1575859769257846,10.954519414147006,0.4252667848559172,18.19232831635749,5000x,15
pristine,0,10,cathode,0.0,0.0,0.0,0.0,5000x,15
pristine,0,10,interface_ae,0.0,0.0,0.0,0.0,5000x,15
pristine,0,10,interface_ec,0.0,0.0,0.0,0.0,5000x,15
10h_operation,10,1,anode,0.6986784085836149,13.170013743556758,0.7757336891902147,22.49292676801248,5000x,15
10h_operation,10,1,electrolyte,0.5264928803629224,12.252592490728507,0.6738816973740968,20.419786666029946,5000x,15
10h_operation,10,1,cathode,0.7999924988375839,12.74164262253148,0.866025323260174,22.041079804523747,5000x,15
10h_operation,10,1,interface_ae,1.4244366724997382,19.228914998344404,0.7156618149608628,32.41944756884686,5000x,15
10h_operation,10,1,interface_ec,1.053834996873501,17.37998788241122,0.6541127274918044,30.94180139398583,5000x,15
10h_operation,10,2,anode,1.1625069762037725,13.755549161490553,0.7652750705111452,26.31877535698039,5000x,15
10h_operation,10,2,electrolyte,0.1654889174134557,13.27258118632789,0.3276937052815496,31.014948733340418,5000x,15
10h_operation,10,2,cathode,0.9589476441270963,16.44844675870239,0.8130447162957177,31.068926676778826,5000x,15
10h_operation,10,2,interface_ae,1.3167601621486331,16.628890805062564,0.6908307704642155,26.81302480473697,5000x,15
10h_operation,10,2,interface_ec,1.2402585338199088,14.336891339936468,0.7829746085092468,20.668582831981098,5000x,15
10h_operation,10,3,anode,0.0,0.0,0.0,0.0,5000x,15
10h_operation,10,3,electrolyte,0.37117671001838015,7.566134579111431,0.36097306679992835,10.645788327613818,5000x,15
10h_operation,10,3,cathode,0.28457423560327755,12.601562135541625,0.43427993971104334,18.211136089386464,5000x,15
10h_operation,10,3,interface_ae,1.1802534202467132,14.614411954573566,0.6159445034702707,26.276939500036537,5000x,15
10h_operation,10,3,interface_ec,0.938680759787732,14.373085401863706,0.7325334352139639,31.865431690970745,5000x,15
10h_operation,10,4,anode,0.6454005546413151,12.34767178943879,0.5348139234187533,15.875907129455909,5000x,15
10h_operation,10,4,electrolyte,0.45401985138455164,12.201470058553465,0.47220848143906047,23.822235843964457,5000x,15
10h_operation,10,4,cathode,0.9191577323309381,17.709135717520933,0.6800273668847617,32.41025563073501,5000x,15
10h_operation,10,4,interface_ae,1.2323477760869894,15.936409795018637,0.848433700337113,32.066227019110435,5000x,15
10h_operation,10,4,interface_ec,0.8973057709805607,13.710778042209862,0.5301547795693973,27.995217639391804,5000x,15
10h_operation,10,5,anode,0.8543169813016279,15.419882813161871,0.704293981887597,24.632877149781724,5000x,15
10h_operation,10,5,electrolyte,0.0,0.0,0.0,0.0,5000x,15
10h_operation,10,5,cathode,0.43961498686150874,12.331201669138329,0.46267383997613787,24.392662776898646,5000x,15
