Mix_ID,Temperature_C,Data_Type,Property_Type,Moisture_Diffusivity_Mean_m2_s,Moisture_Diffusivity_Std_m2_s,Sorption_Capacity_Mean_kg_kg,Sorption_Capacity_Std_kg_kg,Moisture_Permeability_kg_m_s_Pa,Rubber_Content_Percent,Particle_Size
C,20,Validation,Transport,2.50e-12,5.50e-13,0.045,0.0081,1.12e-10,0.0,small
C,30,Calibration,Transport,3.73e-12,8.21e-13,0.0438,0.00788,1.63e-10,0.0,small
C,40,Calibration,Transport,5.44e-12,1.20e-12,0.04266,0.00768,2.32e-10,0.0,small
C,50,Calibration,Transport,7.76e-12,1.71e-12,0.04156,0.00748,3.22e-10,0.0,small
C,60,Calibration,Transport,1.09e-11,2.39e-12,0.04052,0.00729,4.40e-10,0.0,small
C,70,Validation,Transport,1.49e-11,3.28e-12,0.03951,0.00711,5.89e-10,0.0,small
C,80,Calibration,Transport,2.02e-11,4.44e-12,0.03855,0.00694,7.77e-10,0.0,small
C,90,Calibration,Transport,2.68e-11,5.91e-12,0.03763,0.00677,1.01e-09,0.0,small
C,100,Calibration,Transport,3.53e-11,7.76e-12,0.03674,0.00661,1.30e-09,0.0,small
C,110,Calibration,Transport,4.70e-11,1.03e-11,0.03589,0.00646,1.69e-09,0.0,small
C,120,Calibration,Transport,6.08e-11,1.34e-11,0.03507,0.00631,2.13e-09,0.0,small
C,130,Validation,Transport,7.75e-11,1.71e-11,0.03428,0.00617,2.66e-09,0.0,small
C,140,Calibration,Transport,9.77e-11,2.15e-11,0.03352,0.00603,3.27e-09,0.0,small
C,150,Calibration,Transport,1.22e-10,2.68e-11,0.03278,0.0059,3.99e-09,0.0,small
C,160,Calibration,Transport,1.50e-10,3.31e-11,0.03207,0.00577,4.82e-09,0.0,small
C,170,Calibration,Transport,1.84e-10,4.05e-11,0.03138,0.00565,5.78e-09,0.0,small
C,180,Calibration,Transport,2.23e-10,4.92e-11,0.03072,0.00553,6.86e-09,0.0,small
C,190,Calibration,Transport,2.69e-10,5.93e-11,0.03007,0.00541,8.10e-09,0.0,small
C,200,Validation,Transport,3.22e-10,7.09e-11,0.02945,0.0053,9.49e-09,0.0,small
C,210,Calibration,Transport,3.83e-10,8.43e-11,0.02885,0.00519,1.10e-08,0.0,small
C,220,Calibration,Transport,4.53e-10,9.96e-11,0.02826,0.00509,1.28e-08,0.0,small
C,230,Calibration,Transport,5.31e-10,1.17e-10,0.02769,0.00498,1.47e-08,0.0,small
C,240,Calibration,Transport,6.21e-10,1.37e-10,0.02714,0.00489,1.68e-08,0.0,small
C,250,Validation,Transport,7.21e-10,1.59e-10,0.02661,0.00479,1.92e-08,0.0,small
C,260,Validation,Transport,8.34e-10,1.83e-10,0.02609,0.0047,2.18e-08,0.0,small
C,270,Calibration,Transport,9.59e-10,2.11e-10,0.02558,0.0046,2.45e-08,0.0,small
C,280,Calibration,Transport,1.10e-09,2.42e-10,0.02509,0.00452,2.76e-08,0.0,small
C,290,Calibration,Transport,1.25e-09,2.76e-10,0.02461,0.00443,3.09e-08,0.0,small
C,300,Calibration,Transport,1.43e-09,3.14e-10,0.02415,0.00435,3.44e-08,0.0,small
C,310,Calibration,Transport,1.61e-09,3.55e-10,0.0237,0.00427,3.82e-08,0.0,small
C,320,Calibration,Transport,1.82e-09,4.00e-10,0.02326,0.00419,4.23e-08,0.0,small
C,330,Calibration,Transport,2.05e-09,4.50e-10,0.02283,0.00411,4.67e-08,0.0,small
C,340,Calibration,Transport,2.29e-09,5.04e-10,0.02241,0.00403,5.14e-08,0.0,small
C,350,Validation,Transport,2.56e-09,5.63e-10,0.022,0.00396,5.63e-08,0.0,small
C,360,Calibration,Transport,2.85e-09,6.27e-10,0.02161,0.00389,6.16e-08,0.0,small
C,370,Calibration,Transport,3.17e-09,6.97e-10,0.02122,0.00382,6.72e-08,0.0,small
C,380,Validation,Transport,3.51e-09,7.71e-10,0.02084,0.00375,7.31e-08,0.0,small
C,390,Calibration,Transport,3.87e-09,8.52e-10,0.02047,0.00368,7.93e-08,0.0,small
