Mix_ID,Temperature_C,Data_Type,Property_Type,Total_Porosity_Mean,Total_Porosity_Std,Effective_Porosity_Mean,Effective_Porosity_Std,Connectivity_Factor,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Transport,0.12,0.018,0.08,0.0144,0.667,0.0,small
C,30,Validation,Transport,0.12,0.018,0.0805,0.0145,0.671,0.0,small
C,40,Calibration,Transport,0.12,0.018,0.081,0.0146,0.675,0.0,small
C,50,Calibration,Transport,0.12,0.018,0.0815,0.0147,0.679,0.0,small
C,60,Validation,Transport,0.12,0.018,0.0821,0.0148,0.684,0.0,small
C,70,Calibration,Transport,0.12,0.018,0.0826,0.0149,0.688,0.0,small
C,80,Calibration,Transport,0.12,0.018,0.0831,0.015,0.692,0.0,small
C,90,Calibration,Transport,0.12,0.018,0.0836,0.015,0.697,0.0,small
C,100,Calibration,Transport,0.12,0.018,0.0841,0.0151,0.701,0.0,small
C,110,Calibration,Transport,0.1268,0.019,0.0894,0.0161,0.705,0.0,small
C,120,Calibration,Transport,0.1295,0.0194,0.0919,0.0165,0.709,0.0,small
C,130,Validation,Transport,0.1311,0.0197,0.0935,0.0168,0.714,0.0,small
C,140,Calibration,Transport,0.1322,0.0198,0.0949,0.0171,0.718,0.0,small
C,150,Calibration,Transport,0.1332,0.02,0.0962,0.0173,0.722,0.0,small
C,160,Validation,Transport,0.134,0.0201,0.0974,0.0175,0.726,0.0,small
C,170,Validation,Transport,0.1347,0.0202,0.0985,0.0177,0.731,0.0,small
C,180,Calibration,Transport,0.1354,0.0203,0.0995,0.0179,0.735,0.0,small
C,190,Calibration,Transport,0.136,0.0204,0.1005,0.0181,0.739,0.0,small
C,200,Calibration,Transport,0.1365,0.0205,0.1015,0.0183,0.744,0.0,small
C,210,Calibration,Transport,0.137,0.0206,0.1025,0.0184,0.748,0.0,small
C,220,Calibration,Transport,0.1375,0.0206,0.1034,0.0186,0.752,0.0,small
C,230,Calibration,Transport,0.1379,0.0207,0.1043,0.0188,0.756,0.0,small
C,240,Calibration,Transport,0.1383,0.0208,0.1052,0.0189,0.761,0.0,small
C,250,Calibration,Transport,0.1387,0.0208,0.1061,0.0191,0.765,0.0,small
C,260,Validation,Transport,0.1391,0.0209,0.107,0.0193,0.769,0.0,small
C,270,Validation,Transport,0.1395,0.0209,0.1079,0.0194,0.774,0.0,small
C,280,Calibration,Transport,0.1398,0.021,0.1088,0.0196,0.778,0.0,small
C,290,Calibration,Transport,0.1402,0.021,0.1096,0.0197,0.782,0.0,small
C,300,Calibration,Transport,0.1405,0.0211,0.1105,0.0199,0.786,0.0,small
C,310,Validation,Transport,0.1408,0.0211,0.1113,0.02,0.791,0.0,small
C,320,Calibration,Transport,0.1411,0.0212,0.1122,0.0202,0.795,0.0,small
C,330,Calibration,Transport,0.1414,0.0212,0.113,0.0203,0.799,0.0,small
C,340,Validation,Transport,0.1417,0.0213,0.1138,0.0205,0.803,0.0,small
C,350,Validation,Transport,0.1419,0.0213,0.1146,0.0206,0.808,0.0,small
C,360,Validation,Transport,0.1422,0.0213,0.1155,0.0208,0.812,0.0,small
C,370,Validation,Transport,0.1425,0.0214,0.1163,0.0209,0.816,0.0,small
C,380,Calibration,Transport,0.1427,0.0214,0.1171,0.0211,0.821,0.0,small
C,390,Calibration,Transport,0.143,0.0214,0.1179,0.0212,0.825,0.0,small
C,400,Validation,Transport,0.1432,0.0215,0.1187,0.0214,0.829,0.0,small
C,410,Validation,Transport,0.1466,0.022,0.1222,0.022,0.833,0.0,small
C,420,Calibration,Transport,0.1481,0.0222,0.1241,0.0223,0.838,0.0,small
C,430,Calibration,Transport,0.1494,0.0224,0.1257,0.0226,0.842,0.0,small
C,440,Calibration,Transport,0.1504,0.0226,0.1273,0.0229,0.846,0.0,small
C,450,Validation,Transport,0.1514,0.0227,0.1287,0.0232,0.85,0.0,small
C,460,Validation,Transport,0.1523,0.0228,0.1301,0.0234,0.855,0.0,small
C,470,Calibration,Transport,0.1531,0.023,0.1315,0.0237,0.859,0.0,small
C,480,Calibration,Transport,0.1539,0.0231,0.1328,0.0239,0.863,0.0,small
C,490,Calibration,Transport,0.1546,0.0232,0.1341,0.0241,0.868,0.0,small
C,500,Validation,Transport,0.1553,0.0233,0.1354,0.0244,0.872,0.0,small
C,510,Validation,Transport,0.156,0.0234,0.1367,0.0246,0.876,0.0,small
C,520,Validation,Transport,0.1567,0.0235,0.1379,0.0248,0.88,0.0,small
C,530,Calibration,Transport,0.1573,0.0236,0.1391,0.025,0.885,0.0,small
C,540,Calibration,Transport,0.1579,0.0237,0.1404,0.0253,0.889,0.0,small
C,550,Calibration,Transport,0.1585,0.0238,0.1416,0.0255,0.893,0.0,small
C,560,Calibration,Transport,0.1591,0.0239,0.1428,0.0257,0.897,0.0,small
C,570,Validation,Transport,0.1596,0.0239,0.1437,0.0259,0.9,0.0,small
C,580,Validation,Transport,0.1602,0.024,0.1442,0.0259,0.9,0.0,small
C,590,Validation,Transport,0.1607,0.0241,0.1446,0.026,0.9,0.0,small
C,600,Validation,Transport,0.1612,0.0242,0.1451,0.0261,0.9,0.0,small
C,610,Calibration,Transport,0.1618,0.0243,0.1456,0.0262,0.9,0.0,small
C,620,Validation,Transport,0.1623,0.0243,0.146,0.0263,0.9,0.0,small
C,630,Validation,Transport,0.1627,0.0244,0.1465,0.0264,0.9,0.0,small
C,640,Validation,Transport,0.1632,0.0245,0.1469,0.0264,0.9,0.0,small
C,650,Calibration,Transport,0.1637,0.0246,0.1473,0.0265,0.9,0.0,small
C,660,Calibration,Transport,0.1642,0.0246,0.1478,0.0266,0.9,0.0,small
C,670,Calibration,Transport,0.1646,0.0247,0.1482,0.0267,0.9,0.0,small
C,680,Validation,Transport,0.1651,0.0248,0.1486,0.0267,0.9,0.0,small
C,690,Calibration,Transport,0.1655,0.0248,0.149,0.0268,0.9,0.0,small
C,700,Calibration,Transport,0.166,0.0249,0.1494,0.0269,0.9,0.0,small
C,710,Calibration,Transport,0.1664,0.025,0.1497,0.027,0.9,0.0,small
C,720,Calibration,Transport,0.1668,0.025,0.1501,0.027,0.9,0.0,small
C,730,Calibration,Transport,0.1672,0.0251,0.1505,0.0271,0.9,0.0,small
C,740,Calibration,Transport,0.1676,0.0251,0.1509,0.0272,0.9,0.0,small
C,750,Calibration,Transport,0.168,0.0252,0.1512,0.0272,0.9,0.0,small
C,760,Calibration,Transport,0.1684,0.0253,0.1516,0.0273,0.9,0.0,small
C,770,Validation,Transport,0.1688,0.0253,0.152,0.0274,0.9,0.0,small
C,780,Calibration,Transport,0.1692,0.0254,0.1523,0.0274,0.9,0.0,small
C,790,Validation,Transport,0.1696,0.0254,0.1527,0.0275,0.9,0.0,small
C,800,Calibration,Transport,0.17,0.0255,0.153,0.0275,0.9,0.0,small
