Mix_ID,Temperature_C,Data_Type,Property_Type,Intrinsic_Permeability_Mean_m2,Intrinsic_Permeability_Std_m2,Relative_Permeability,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Transport,1.20e-18,3.00e-19,1.2,0.0,small
C,30,Validation,Transport,1.24e-18,3.10e-19,1.24,0.0,small
C,40,Validation,Transport,1.28e-18,3.19e-19,1.28,0.0,small
C,50,Calibration,Transport,1.32e-18,3.29e-19,1.32,0.0,small
C,60,Calibration,Transport,1.35e-18,3.38e-19,1.35,0.0,small
C,70,Calibration,Transport,1.39e-18,3.48e-19,1.39,0.0,small
C,80,Calibration,Transport,1.43e-18,3.58e-19,1.43,0.0,small
C,90,Validation,Transport,1.47e-18,3.67e-19,1.47,0.0,small
C,100,Calibration,Transport,1.51e-18,3.77e-19,1.51,0.0,small
C,110,Validation,Transport,1.69e-18,4.23e-19,1.69,0.0,small
C,120,Calibration,Transport,1.80e-18,4.50e-19,1.8,0.0,small
C,130,Validation,Transport,1.89e-18,4.73e-19,1.89,0.0,small
C,140,Validation,Transport,1.98e-18,4.95e-19,1.98,0.0,small
C,150,Calibration,Transport,2.06e-18,5.16e-19,2.06,0.0,small
C,160,Calibration,Transport,2.15e-18,5.36e-19,2.15,0.0,small
C,170,Calibration,Transport,2.23e-18,5.57e-19,2.23,0.0,small
C,180,Calibration,Transport,2.31e-18,5.77e-19,2.31,0.0,small
C,190,Calibration,Transport,2.39e-18,5.96e-19,2.39,0.0,small
C,200,Calibration,Transport,2.46e-18,6.16e-19,2.46,0.0,small
C,210,Calibration,Transport,2.54e-18,6.36e-19,2.54,0.0,small
C,220,Calibration,Transport,2.62e-18,6.55e-19,2.62,0.0,small
C,230,Calibration,Transport,2.70e-18,6.75e-19,2.7,0.0,small
C,240,Calibration,Transport,2.78e-18,6.95e-19,2.78,0.0,small
C,250,Calibration,Transport,2.86e-18,7.14e-19,2.86,0.0,small
C,260,Calibration,Transport,2.94e-18,7.34e-19,2.94,0.0,small
C,270,Validation,Transport,3.01e-18,7.53e-19,3.01,0.0,small
C,280,Calibration,Transport,3.09e-18,7.73e-19,3.09,0.0,small
C,290,Calibration,Transport,3.17e-18,7.93e-19,3.17,0.0,small
C,300,Calibration,Transport,3.25e-18,8.13e-19,3.25,0.0,small
C,310,Calibration,Transport,3.33e-18,8.32e-19,3.33,0.0,small
C,320,Calibration,Transport,3.41e-18,8.52e-19,3.41,0.0,small
C,330,Calibration,Transport,3.49e-18,8.72e-19,3.49,0.0,small
C,340,Calibration,Transport,3.57e-18,8.92e-19,3.57,0.0,small
C,350,Validation,Transport,3.65e-18,9.12e-19,3.65,0.0,small
C,360,Validation,Transport,3.73e-18,9.33e-19,3.73,0.0,small
