Mix_ID,Temperature_C,Data_Type,Property_Type,O2_Diffusivity_Mean_m2_s,O2_Diffusivity_Std_m2_s,CO2_Diffusivity_Mean_m2_s,CO2_Diffusivity_Std_m2_s,O2_Permeability_m2_s_Pa,CO2_Permeability_m2_s_Pa,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Transport,1.80e-06,3.60e-07,1.20e-06,2.40e-07,2.52e-09,3.96e-08,0.0,small
C,30,Calibration,Transport,2.35e-06,4.69e-07,1.63e-06,3.26e-07,3.28e-09,5.38e-08,0.0,small
C,40,Validation,Transport,3.01e-06,6.02e-07,2.17e-06,4.34e-07,4.22e-09,7.17e-08,0.0,small
C,50,Validation,Transport,3.82e-06,7.63e-07,2.85e-06,5.70e-07,5.34e-09,9.41e-08,0.0,small
C,60,Calibration,Transport,4.77e-06,9.55e-07,3.69e-06,7.38e-07,6.68e-09,1.22e-07,0.0,small
C,70,Validation,Transport,5.91e-06,1.18e-06,4.71e-06,9.42e-07,8.27e-09,1.55e-07,0.0,small
C,80,Calibration,Transport,7.23e-06,1.45e-06,5.94e-06,1.19e-06,1.01e-08,1.96e-07,0.0,small
C,90,Validation,Transport,8.77e-06,1.75e-06,7.41e-06,1.48e-06,1.23e-08,2.44e-07,0.0,small
C,100,Calibration,Transport,1.05e-05,2.11e-06,9.14e-06,1.83e-06,1.47e-08,3.02e-07,0.0,small
C,110,Calibration,Transport,1.29e-05,2.58e-06,1.15e-05,2.30e-06,1.81e-08,3.79e-07,0.0,small
C,120,Calibration,Transport,1.54e-05,3.08e-06,1.41e-05,2.81e-06,2.16e-08,4.64e-07,0.0,small
C,130,Calibration,Transport,1.82e-05,3.65e-06,1.70e-05,3.40e-06,2.55e-08,5.61e-07,0.0,small
C,140,Calibration,Transport,2.14e-05,4.27e-06,2.04e-05,4.07e-06,2.99e-08,6.72e-07,0.0,small
C,150,Calibration,Transport,2.49e-05,4.97e-06,2.42e-05,4.84e-06,3.48e-08,7.98e-07,0.0,small
C,160,Calibration,Transport,2.87e-05,5.75e-06,2.85e-05,5.71e-06,4.02e-08,9.41e-07,0.0,small
C,170,Validation,Transport,3.30e-05,6.61e-06,3.34e-05,6.68e-06,4.63e-08,1.10e-06,0.0,small
C,180,Calibration,Transport,3.78e-05,7.56e-06,3.89e-05,7.78e-06,5.29e-08,1.28e-06,0.0,small
C,190,Calibration,Transport,4.30e-05,8.60e-06,4.50e-05,9.01e-06,6.02e-08,1.49e-06,0.0,small
C,200,Validation,Transport,4.87e-05,9.74e-06,5.19e-05,1.04e-05,6.82e-08,1.71e-06,0.0,small
C,210,Calibration,Transport,5.49e-05,1.10e-05,5.94e-05,1.19e-05,7.69e-08,1.96e-06,0.0,small
C,220,Calibration,Transport,6.17e-05,1.23e-05,6.78e-05,1.36e-05,8.64e-08,2.24e-06,0.0,small
C,230,Calibration,Transport,6.90e-05,1.38e-05,7.69e-05,1.54e-05,9.66e-08,2.54e-06,0.0,small
C,240,Validation,Transport,7.70e-05,1.54e-05,8.70e-05,1.74e-05,1.08e-07,2.87e-06,0.0,small
C,250,Calibration,Transport,8.55e-05,1.71e-05,9.79e-05,1.96e-05,1.20e-07,3.23e-06,0.0,small
C,260,Calibration,Transport,9.47e-05,1.89e-05,1.10e-04,2.20e-05,1.33e-07,3.62e-06,0.0,small
C,270,Validation,Transport,1.05e-04,2.09e-05,1.23e-04,2.46e-05,1.46e-07,4.05e-06,0.0,small
C,280,Validation,Transport,1.15e-04,2.30e-05,1.37e-04,2.74e-05,1.61e-07,4.51e-06,0.0,small
C,290,Calibration,Transport,1.26e-04,2.53e-05,1.52e-04,3.04e-05,1.77e-07,5.01e-06,0.0,small
C,300,Calibration,Transport,1.38e-04,2.77e-05,1.68e-04,3.36e-05,1.94e-07,5.55e-06,0.0,small
C,310,Calibration,Transport,1.51e-04,3.02e-05,1.86e-04,3.71e-05,2.11e-07,6.13e-06,0.0,small
C,320,Validation,Transport,1.64e-04,3.29e-05,2.04e-04,4.09e-05,2.30e-07,6.74e-06,0.0,small
C,330,Calibration,Transport,1.79e-04,3.58e-05,2.24e-04,4.49e-05,2.50e-07,7.40e-06,0.0,small
C,340,Calibration,Transport,1.94e-04,3.88e-05,2.46e-04,4.92e-05,2.71e-07,8.11e-06,0.0,small
C,350,Validation,Transport,2.10e-04,4.20e-05,2.69e-04,5.37e-05,2.94e-07,8.86e-06,0.0,small
C,360,Calibration,Transport,2.27e-04,4.53e-05,2.93e-04,5.85e-05,3.17e-07,9.66e-06,0.0,small
C,370,Calibration,Transport,2.44e-04,4.89e-05,3.18e-04,6.37e-05,3.42e-07,1.05e-05,0.0,small
C,380,Calibration,Transport,2.63e-04,5.26e-05,3.46e-04,6.91e-05,3.68e-07,1.14e-05,0.0,small
C,390,Calibration,Transport,2.83e-04,5.65e-05,3.74e-04,7.49e-05,3.96e-07,1.24e-05,0.0,small
C,400,Calibration,Transport,3.03e-04,6.06e-05,4.05e-04,8.10e-05,4.24e-07,1.34e-05,0.0,small
C,410,Calibration,Transport,3.28e-04,6.56e-05,4.42e-04,8.83e-05,4.59e-07,1.46e-05,0.0,small
C,420,Calibration,Transport,3.52e-04,7.05e-05,4.78e-04,9.56e-05,4.93e-07,1.58e-05,0.0,small
C,430,Calibration,Transport,3.77e-04,7.55e-05,5.16e-04,1.03e-04,5.28e-07,1.70e-05,0.0,small
C,440,Validation,Transport,4.04e-04,8.07e-05,5.55e-04,1.11e-04,5.65e-07,1.83e-05,0.0,small
C,450,Calibration,Transport,4.31e-04,8.61e-05,5.97e-04,1.19e-04,6.03e-07,1.97e-05,0.0,small
C,460,Validation,Transport,4.59e-04,9.18e-05,6.40e-04,1.28e-04,6.42e-07,2.11e-05,0.0,small
C,470,Calibration,Transport,4.88e-04,9.77e-05,6.86e-04,1.37e-04,6.84e-07,2.26e-05,0.0,small
C,480,Validation,Transport,5.19e-04,1.04e-04,7.34e-04,1.47e-04,7.26e-07,2.42e-05,0.0,small
C,490,Validation,Transport,5.51e-04,1.10e-04,7.83e-04,1.57e-04,7.71e-07,2.58e-05,0.0,small
C,500,Calibration,Transport,5.83e-04,1.17e-04,8.35e-04,1.67e-04,8.17e-07,2.76e-05,0.0,small
C,510,Validation,Transport,6.18e-04,1.24e-04,8.89e-04,1.78e-04,8.65e-07,2.94e-05,0.0,small
C,520,Validation,Transport,6.53e-04,1.31e-04,9.46e-04,1.89e-04,9.14e-07,3.12e-05,0.0,small
C,530,Calibration,Transport,6.90e-04,1.38e-04,1.00e-03,2.01e-04,9.66e-07,3.32e-05,0.0,small
C,540,Calibration,Transport,7.28e-04,1.46e-04,1.07e-03,2.13e-04,1.02e-06,3.52e-05,0.0,small
C,550,Calibration,Transport,7.67e-04,1.53e-04,1.13e-03,2.26e-04,1.07e-06,3.73e-05,0.0,small
C,560,Validation,Transport,8.08e-04,1.62e-04,1.20e-03,2.39e-04,1.13e-06,3.95e-05,0.0,small
C,570,Validation,Transport,8.50e-04,1.70e-04,1.26e-03,2.53e-04,1.19e-06,4.17e-05,0.0,small
C,580,Validation,Transport,8.93e-04,1.79e-04,1.34e-03,2.67e-04,1.25e-06,4.41e-05,0.0,small
