x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa
0.592,0.51,0.032,SynchrotronXRD,-147.97,-113.4,-45.99,-3.99,0.91,-2.31
0.592,0.51,0.097,SynchrotronXRD,-131.26,-94.88,-51.16,0.69,-5.16,2.86
0.592,0.51,0.162,SynchrotronXRD,-83.6,-96.47,-41.42,7.69,-0.28,4.78
0.592,0.51,0.227,SynchrotronXRD,-77.1,-67.59,-40.8,-3.68,-5.96,-4.17
0.592,0.51,0.292,SynchrotronXRD,-82.67,-51.52,-25.7,1.16,-5.44,4.19
0.592,0.51,0.357,SynchrotronXRD,-50.93,-26.06,-21.61,0.14,-0.53,4.02
0.592,1.529,0.032,SynchrotronXRD,-136.89,-110.05,-49.77,-5.73,-2.33,5.33
0.592,1.529,0.097,SynchrotronXRD,-115.38,-88.4,-52.63,4.44,3.31,4.62
0.592,1.529,0.162,SynchrotronXRD,-97.45,-84.48,-46.56,-4.0,-5.5,-1.51
0.592,1.529,0.227,SynchrotronXRD,-88.44,-76.13,-22.44,-2.33,4.49,1.79
0.592,1.529,0.292,SynchrotronXRD,-62.44,-74.98,-18.89,0.74,-0.09,2.12
0.592,1.529,0.357,SynchrotronXRD,-47.21,-30.18,-24.19,-0.68,3.34,0.96
0.592,2.548,0.032,SynchrotronXRD,-136.15,-117.75,-58.59,5.11,-3.54,0.82
0.592,2.548,0.097,SynchrotronXRD,-109.66,-95.07,-48.86,3.07,0.18,1.47
0.592,2.548,0.162,SynchrotronXRD,-98.46,-80.69,-32.34,-4.98,-2.1,-0.04
0.592,2.548,0.227,SynchrotronXRD,-86.39,-68.6,-35.33,1.86,1.71,-5.15
0.592,2.548,0.292,SynchrotronXRD,-57.18,-42.46,-29.14,0.97,-3.47,-0.06
0.592,2.548,0.357,SynchrotronXRD,-48.02,-54.97,-19.44,0.44,0.33,-2.59
0.592,3.568,0.032,SynchrotronXRD,-133.95,-102.87,-58.12,-6.07,-5.74,6.6
0.592,3.568,0.097,SynchrotronXRD,-101.77,-106.64,-53.74,-3.16,-4.52,5.65
0.592,3.568,0.162,SynchrotronXRD,-84.24,-86.52,-42.08,-0.02,0.09,-6.11
0.592,3.568,0.227,SynchrotronXRD,-79.97,-62.03,-40.61,-1.59,2.81,-3.5
0.592,3.568,0.292,SynchrotronXRD,-63.21,-53.41,-26.64,-4.06,-3.61,2.49
0.592,3.568,0.357,SynchrotronXRD,-43.44,-55.12,-25.2,0.59,-2.6,-4.14
0.592,4.587,0.032,SynchrotronXRD,-139.95,-117.92,-43.01,-5.26,10.29,2.93
0.592,4.587,0.097,SynchrotronXRD,-143.16,-111.29,-44.83,-8.25,3.9,6.19
0.592,4.587,0.162,SynchrotronXRD,-100.33,-68.22,-48.33,-5.6,1.82,-1.04
0.592,4.587,0.227,SynchrotronXRD,-95.89,-86.86,-27.82,4.19,1.7,-3.67
0.592,4.587,0.292,SynchrotronXRD,-70.02,-39.75,-24.42,-0.49,0.51,-5.79
0.592,4.587,0.357,SynchrotronXRD,-37.92,-32.41,-23.77,-0.12,-0.46,0.69
0.592,5.606,0.032,SynchrotronXRD,-138.2,-130.94,-50.9,0.58,2.9,-2.76
0.592,5.606,0.097,SynchrotronXRD,-125.04,-96.8,-46.28,0.61,-3.84,3.13
0.592,5.606,0.162,SynchrotronXRD,-107.75,-91.1,-47.28,1.7,2.06,1.35
0.592,5.606,0.227,SynchrotronXRD,-78.24,-66.44,-29.04,3.33,-4.38,-5.42
0.592,5.606,0.292,SynchrotronXRD,-67.45,-49.81,-21.63,-1.3,-5.87,-1.84
0.592,5.606,0.357,SynchrotronXRD,-53.77,-44.28,-25.03,-0.52,0.7,0.03
0.592,6.625,0.032,SynchrotronXRD,-145.15,-122.49,-66.87,-6.99,-4.01,21.48
0.592,6.625,0.097,SynchrotronXRD,-127.78,-97.65,-41.98,1.68,4.42,2.71
0.592,6.625,0.162,SynchrotronXRD,-98.33,-70.31,-38.93,0.7,2.14,-3.93
0.592,6.625,0.227,SynchrotronXRD,-89.35,-62.81,-35.33,-4.41,-5.62,-8.29
0.592,6.625,0.292,SynchrotronXRD,-84.51,-63.93,-30.7,-0.78,-1.67,9.69
0.592,6.625,0.357,SynchrotronXRD,-49.55,-54.8,-20.61,-0.12,3.16,2.36
0.592,7.645,0.032,SynchrotronXRD,-133.71,-128.73,-67.73,7.66,0.5,1.2
0.592,7.645,0.097,SynchrotronXRD,-140.88,-100.7,-34.35,-2.14,-4.22,0.45
0.592,7.645,0.162,SynchrotronXRD,-79.93,-85.05,-43.37,8.24,-5.35,-2.54
0.592,7.645,0.227,SynchrotronXRD,-88.5,-73.71,-33.08,2.55,0.96,8.46
0.592,7.645,0.292,SynchrotronXRD,-69.6,-41.8,-34.82,-1.56,2.74,5.79
0.592,7.645,0.357,SynchrotronXRD,-56.72,-53.88,-17.51,-0.35,-1.65,0.78
0.592,8.664,0.032,SynchrotronXRD,-129.4,-99.86,-60.59,-3.37,2.42,3.28
0.592,8.664,0.097,SynchrotronXRD,-143.81,-79.49,-50.89,-8.09,-6.53,-1.97
0.592,8.664,0.162,SynchrotronXRD,-110.4,-81.05,-41.3,-4.79,-0.58,-5.57
0.592,8.664,0.227,SynchrotronXRD,-63.93,-61.98,-41.33,0.63,5.29,-0.78
0.592,8.664,0.292,SynchrotronXRD,-70.44,-52.0,-23.62,-3.1,-8.91,-5.71
0.592,8.664,0.357,SynchrotronXRD,-44.57,-36.81,-26.82,-1.46,1.17,-6.43
0.592,9.683,0.032,SynchrotronXRD,-133.2,-107.23,-50.75,-6.25,-10.82,0.76
0.592,9.683,0.097,SynchrotronXRD,-110.74,-88.28,-55.93,-1.23,-1.78,-7.83
0.592,9.683,0.162,SynchrotronXRD,-93.57,-88.44,-48.05,5.67,-5.36,0.83
0.592,9.683,0.227,SynchrotronXRD,-93.67,-82.36,-33.2,-4.63,-0.0,2.96
0.592,9.683,0.292,SynchrotronXRD,-71.96,-55.67,-25.43,-1.69,7.76,2.8
0.592,9.683,0.357,SynchrotronXRD,-42.91,-58.06,-23.53,0.47,-5.35,-2.15
1.776,0.51,0.032,SynchrotronXRD,-148.69,-89.08,-54.55,-1.14,-1.43,3.87
1.776,0.51,0.097,SynchrotronXRD,-122.81,-92.62,-35.66,5.84,-10.32,5.57
1.776,0.51,0.162,SynchrotronXRD,-92.43,-88.22,-40.74,0.17,5.87,3.29
1.776,0.51,0.227,SynchrotronXRD,-86.58,-70.54,-32.52,-0.6,-1.0,-3.76
1.776,0.51,0.292,SynchrotronXRD,-52.93,-58.62,-25.5,-0.94,-4.11,-1.04
1.776,0.51,0.357,SynchrotronXRD,-46.8,-43.0,-7.78,-1.0,3.96,-1.49
1.776,1.529,0.032,SynchrotronXRD,-126.49,-102.92,-53.93,5.34,-7.55,0.93
1.776,1.529,0.097,SynchrotronXRD,-121.67,-97.08,-43.97,3.66,3.86,4.52
1.776,1.529,0.162,SynchrotronXRD,-105.06,-63.52,-34.59,3.83,-9.6,-2.46
1.776,1.529,0.227,SynchrotronXRD,-62.31,-69.45,-39.02,-1.36,0.81,3.38
1.776,1.529,0.292,SynchrotronXRD,-73.1,-66.65,-28.61,-2.08,3.49,1.17
1.776,1.529,0.357,SynchrotronXRD,-48.08,-22.26,-19.18,-0.27,-4.32,-0.4
1.776,2.548,0.032,SynchrotronXRD,-143.18,-98.42,-51.29,-4.66,-8.78,-3.22
1.776,2.548,0.097,SynchrotronXRD,-117.37,-89.38,-47.27,-3.04,6.74,2.26
1.776,2.548,0.162,SynchrotronXRD,-121.61,-77.3,-40.5,-7.13,2.69,1.91
1.776,2.548,0.227,SynchrotronXRD,-74.41,-76.19,-29.79,5.3,-1.02,0.92
1.776,2.548,0.292,SynchrotronXRD,-74.66,-57.38,-18.83,1.32,-2.06,4.35
1.776,2.548,0.357,SynchrotronXRD,-66.83,-37.42,-13.22,0.67,-0.66,-0.24
1.776,3.568,0.032,SynchrotronXRD,-120.1,-105.06,-65.62,-7.28,-7.41,7.26
1.776,3.568,0.097,SynchrotronXRD,-113.57,-100.45,-46.83,3.77,-4.36,6.48
