material,x_position_um,y_position_um,youngs_modulus_GPa,hardness_GPa,reduced_modulus_GPa,max_load_mN,max_depth_nm,contact_area_nm2,creep_compliance_1_GPa,creep_depth_nm,plastic_work_pJ,elastic_work_pJ,oliver_pharr_beta,measurement_temp_C,drift_rate_nm_s
YSZ,0,0,190.33432340034062,12.986724227278048,209.15859714323145,10,15655.799632330754,770017.1209453602,0.008,430.0945249072566,109590.59742631527,46967.39889699226,1.034,25,0.015914992886712012
YSZ,0,50,176.9453738300825,15.613991229166746,194.4454657473434,10,14278.023687200866,640451.2371775976,0.008,392.2444051774688,99946.16581040605,42834.0710616026,1.034,25,0.04595916075562603
YSZ,0,100,171.00312387793096,12.095968668295301,187.91552074497906,10,16222.012698992274,826721.7181382888,0.008,445.64947231468017,113554.08889294592,48666.03809697682,1.034,25,0.028514032889411026
YSZ,0,150,188.57690164477413,13.50830460177888,207.2273644448067,10,15350.574761265945,740285.3499974469,0.008,421.7094184934391,107454.0233288616,46051.724283797834,1.034,25,0.04476328948842946
YSZ,0,200,171.0409262255237,13.437722999821046,187.95706178628976,10,15390.83638719389,744173.6966994462,0.008,422.8154817595857,107735.85471035722,46172.50916158167,1.034,25,0.02657135630889044
YSZ,0,250,181.56917155778157,12.900180168356997,199.5265621514083,10,15708.22725623744,775182.9718261701,0.008,431.53481122451353,109957.59079366206,47124.68176871232,1.034,25,0.048595941824431235
YSZ,0,300,188.51630871052149,14.265465763433742,207.16077880277086,10,14937.643339644797,700993.5858969787,0.008,410.36540874802404,104563.50337751358,44812.93001893439,1.034,25,0.026543759910285847
YSZ,0,350,182.76988004911297,15.073838503556459,200.84602203199228,10,14531.589953586756,663401.0307089757,0.008,399.2103516915346,101721.12967510728,43594.769860760265,1.034,25,0.014088050147221396
YSZ,0,400,189.95206235804324,13.79588211882748,208.73853006378377,10,15189.739512447408,724853.9755462847,0.008,417.29096900165473,106328.17658713185,45569.21853734222,1.034,25,0.048175417044777534
YSZ,0,450,180.01781508349342,11.39654937920596,197.82177481702573,10,16712.38282676224,877458.5769132812,0.008,459.1208702684707,116986.67978733568,50137.14848028673,1.034,25,0.044860236027524925
YSZ,50,0,178.13627221437284,12.387122969515627,195.7541452905196,10,16030.23315850244,807289.9594691785,0.008,440.3809244096871,112211.63210951707,48090.69947550732,1.034,25,0.012996037809891635
YSZ,50,50,177.41833913386515,12.477443688957345,194.96520783941224,10,15972.108597033573,801446.2136062448,0.008,438.78413240688394,111804.760179235,47916.32579110072,1.034,25,0.014243074530698188
YSZ,50,100,179.12879832192223,16.130636498226394,196.84483332079367,10,14047.508753262478,619938.3391411447,0.008,385.91172250877156,98332.56127283734,42142.52625978743,1.034,25,0.03639249197105006
YSZ,50,150,185.50107076772886,11.584795263320984,203.84733051398774,10,16576.043667959973,863200.4081816915,0.008,455.37537485409257,116032.30567571982,49728.13100387992,1.034,25,0.03577977298283417
YSZ,50,200,192.9872097794983,13.273543241406173,212.07385690054758,10,15485.728084372571,753378.3420244178,0.008,425.4223367509735,108400.096590608,46457.18425311772,1.034,25,0.024068082385757732
YSZ,50,250,176.58122470258795,13.538898163273007,194.04530187097575,10,15333.221268021045,738612.542867559,0.008,421.2326851033902,107332.54887614731,45999.66380406313,1.034,25,0.040373888629035654
YSZ,50,300,173.9732437219906,13.644929366830013,191.17938870548417,10,15273.52983941599,732872.9765585586,0.008,419.59284828701266,106914.70887591194,45820.58951824797,1.034,25,0.042098340845356144
