firm_id,size,subsector,ownership,founded_year,employees,assets_musd
FIRM_003,SME,Fruit & vegetable processing,Joint Venture,2018,159,3.86
FIRM_004,SME,Fish processing,Domestic,2018,118,3.99
FIRM_006,SME,Beverages,Joint Venture,1977,91,4.78
FIRM_007,SME,Grain milling,Domestic,1978,108,3.82
FIRM_008,SME,Beverages,Domestic,2018,35,4.6
FIRM_010,SME,Bakery products,Domestic,1992,50,1.69
FIRM_011,Large,Bakery products,Joint Venture,2005,812,19.06
FIRM_012,SME,Bakery products,Domestic,1990,80,1.82
FIRM_014,SME,Grain milling,Foreign,2018,155,4.02
FIRM_018,SME,Meat processing,Domestic,2009,144,3.19
FIRM_020,SME,Beverages,Domestic,1987,257,14.0
FIRM_021,SME,Beverages,Domestic,2006,196,4.8
FIRM_022,SME,Meat processing,Domestic,1987,214,6.78
FIRM_023,SME,Meat processing,Domestic,1976,226,7.4
FIRM_024,Large,Fish processing,Domestic,1994,1709,24.41
FIRM_026,Large,Grain milling,Domestic,1980,1679,5.06
FIRM_028,SME,Confectionery,Foreign,1986,52,4.02
FIRM_030,SME,Confectionery,Joint Venture,1993,130,6.73
FIRM_031,SME,Fish processing,Domestic,1980,196,3.46
FIRM_032,SME,Grain milling,Foreign,1998,88,6.06
FIRM_034,SME,Meat processing,Domestic,2010,199,2.67
FIRM_035,Large,Beverages,Domestic,2006,2514,16.81
FIRM_036,SME,Dairy processing,Foreign,1985,216,3.16
FIRM_037,Large,Bakery products,Domestic,1981,1589,4.37
FIRM_038,Large,Bakery products,Joint Venture,2011,1106,13.08
FIRM_039,SME,Grain milling,Domestic,1993,67,5.84
FIRM_040,SME,Grain milling,Domestic,1985,132,5.83
FIRM_042,SME,Confectionery,Domestic,1976,65,3.57
FIRM_044,Large,Confectionery,Foreign,1977,540,6.18
FIRM_045,SME,Confectionery,Domestic,1996,124,7.57
FIRM_046,Large,Meat processing,Joint Venture,2001,271,4.96
FIRM_047,Large,Bakery products,Domestic,2007,521,12.15
FIRM_049,Large,Fruit & vegetable processing,Domestic,1980,268,17.53
FIRM_050,SME,Fish processing,Joint Venture,1995,196,1.7
FIRM_051,Large,Confectionery,Domestic,1992,1762,6.12
FIRM_052,SME,Dairy processing,Joint Venture,1991,135,12.6
FIRM_053,SME,Meat processing,Foreign,2013,226,7.46
FIRM_054,Large,Fruit & vegetable processing,Domestic,1981,211,16.58
FIRM_057,Large,Bakery products,Domestic,1996,403,7.13
FIRM_058,SME,Fruit & vegetable processing,Domestic,2018,21,4.48
FIRM_059,SME,Bakery products,Domestic,2004,52,3.46
