FirmID,Year,Size,Employees,Assets_USD_millions,Age_Years,Subsector,Ownership_Type,FDI_Presence,FDI_Equity_Share_percent,Knowledge_Absorption_1_5,Task_Performance_1_5,Innovation_1_5,Firm_Resources_1_5,Skilled_Labor_Ratio,IoT_Use,RD_Spend_percent_of_Revenue,Liquidity_Ratio,Tax_Incentives_1_7,Regulatory_Stability_1_7,Infrastructure_Support_1_7,Corruption_Experience_1_7,Govt_Policy_Score_1_7,ROI_Self_percent,ROA_Self_percent,Export_Intensity_percent,Market_Share_percent,Operational_Efficiency_Index_0_100
FIRM_001,2024,Large,1498,30.11,15,Ready Meals,Domestic,0,0.0,2.8,5.0,3.4,3.6,0.56,1,2.02,2.35,4.0,5.9,2.7,2.3,4.6,5.71,5.42,9.07,4.94,81.6
FIRM_002,2024,Large,357,28.91,35,Dairy,Foreign,1,97.0,4.9,3.7,4.1,4.0,0.7,1,3.13,1.06,5.5,3.6,3.9,4.9,4.0,16.06,10.12,23.61,5.13,72.8
FIRM_003,2024,SME,14,2.63,40,Oils & Fats,Domestic,0,0.0,1.8,4.9,4.0,2.7,0.48,0,3.36,2.03,4.6,3.0,3.4,4.8,3.6,4.63,4.93,18.56,0.09,68.2
FIRM_004,2024,Large,1384,23.77,33,Seafood Processing,Joint Venture,1,76.0,3.5,4.7,4.7,3.8,0.63,1,4.57,1.36,4.7,5.2,2.3,6.6,3.4,9.41,7.75,11.5,4.65,57.6
FIRM_005,2024,SME,26,0.8,1,Bakery,Domestic,0,0.0,2.9,3.2,2.5,2.4,0.49,1,0.0,1.87,2.9,4.1,2.8,5.3,3.1,0.73,1.31,11.51,1.01,38.0
FIRM_006,2024,SME,150,2.6,50,Fruits & Vegetables,Domestic,0,0.0,2.8,5.0,3.2,3.5,0.81,0,0.26,2.15,5.1,4.4,5.0,3.8,4.7,4.04,3.48,4.24,1.28,74.7
FIRM_007,2024,SME,166,0.61,2,Fruits & Vegetables,Domestic,0,0.0,3.4,4.9,3.7,2.5,0.58,0,3.76,1.97,3.9,3.7,3.7,5.3,3.5,9.44,2.18,3.74,0.58,62.8
FIRM_008,2024,Large,1594,25.39,50,Meat Processing,Domestic,0,0.0,3.3,4.7,3.6,2.3,0.5,1,4.0,2.05,5.1,3.5,2.4,2.6,4.1,7.33,2.06,9.13,14.38,61.5
FIRM_009,2024,SME,92,4.64,2,Confectionery,Joint Venture,1,80.0,3.6,4.8,4.3,2.6,0.58,1,1.37,1.02,3.4,3.6,3.8,3.1,3.9,12.84,5.88,16.76,1.72,76.9
FIRM_010,2024,Large,1408,14.16,26,Grains & Cereals,Domestic,0,0.0,2.9,4.4,3.6,3.4,0.73,1,3.91,2.16,4.4,2.4,3.3,4.7,3.4,3.14,6.0,1.11,0.36,56.7
FIRM_011,2024,SME,117,2.14,6,Grains & Cereals,Domestic,0,0.0,2.8,4.1,3.5,2.6,0.46,1,3.59,1.17,4.6,3.7,7.0,1.7,5.4,2.14,3.0,15.8,0.37,64.4
FIRM_012,2024,Large,800,28.79,5,Grains & Cereals,Joint Venture,1,70.0,3.8,5.0,3.7,3.4,0.85,0,2.04,1.73,4.0,4.1,3.8,4.3,3.9,13.63,6.45,19.65,2.97,67.9
FIRM_013,2024,Large,1529,37.87,35,Seafood Processing,Joint Venture,1,12.0,3.6,5.0,2.8,2.2,0.53,1,2.05,1.73,4.6,5.7,3.1,3.1,4.6,1.47,6.77,19.77,8.43,61.9
FIRM_014,2024,SME,85,2.35,37,Confectionery,Domestic,0,0.0,2.9,5.0,3.2,2.1,0.58,1,2.05,1.84,3.9,3.9,5.1,4.4,4.1,7.62,4.55,6.73,0.74,68.4
FIRM_015,2024,Large,1671,23.68,6,Meat Processing,Domestic,0,0.0,3.0,3.7,3.0,3.8,0.5,1,3.01,1.77,3.6,1.5,1.5,3.0,2.9,2.88,6.04,5.6,3.18,66.6
FIRM_016,2024,SME,67,3.52,49,Ready Meals,Domestic,0,0.0,3.2,4.0,2.7,3.2,0.46,0,3.96,1.18,5.8,3.7,3.6,4.8,4.1,8.32,2.09,7.0,0.76,60.0
FIRM_017,2024,SME,35,2.33,17,Seafood Processing,Domestic,0,0.0,2.2,4.5,4.0,2.5,0.4,1,2.66,0.93,5.2,6.5,5.7,4.3,5.3,3.06,1.88,22.54,0.01,79.9
FIRM_018,2024,SME,102,3.56,16,Ready Meals,Domestic,0,0.0,2.5,3.9,3.6,3.3,0.66,1,3.0,2.04,3.4,4.7,3.4,6.0,3.4,9.22,6.26,0.0,0.01,69.7
FIRM_019,2024,SME,106,1.13,15,Oils & Fats,Domestic,0,0.0,2.1,4.6,3.2,3.4,0.57,0,3.49,1.69,4.8,3.0,1.6,4.3,3.3,13.0,2.86,2.52,2.02,59.6
FIRM_020,2024,SME,135,2.64,24,Meat Processing,Joint Venture,1,78.0,4.1,4.8,3.2,3.1,0.56,0,0.91,2.17,3.5,4.4,3.1,3.4,3.9,5.42,6.24,14.53,2.78,43.8
FIRM_021,2024,Large,1158,27.53,9,Oils & Fats,Domestic,0,0.0,3.0,4.0,3.3,3.1,0.47,1,0.92,1.58,3.0,3.1,5.1,4.0,3.8,8.55,4.79,3.22,6.33,53.6
FIRM_022,2024,Large,766,19.96,22,Meat Processing,Domestic,0,0.0,3.4,5.0,3.8,3.7,0.76,0,4.74,0.9,5.2,2.4,3.9,2.7,4.2,5.38,7.23,9.91,8.13,70.7
FIRM_023,2024,Large,763,18.72,11,Beverages,Domestic,0,0.0,2.5,4.7,2.6,3.0,0.95,0,2.21,2.08,2.5,3.5,2.6,4.8,3.0,5.03,1.02,3.97,4.9,46.8
FIRM_024,2024,Large,483,28.11,3,Grains & Cereals,Joint Venture,1,42.0,4.6,4.3,3.8,3.0,0.66,0,3.18,1.41,5.1,3.9,2.7,5.0,3.7,12.58,8.24,12.91,11.1,56.3
FIRM_025,2024,Large,1931,20.98,19,Ready Meals,Domestic,0,0.0,2.7,4.2,3.5,3.0,0.69,0,2.5,1.77,3.9,1.9,2.9,7.0,2.4,6.65,4.76,6.87,7.05,57.1
FIRM_026,2024,Large,466,27.44,34,Fruits & Vegetables,Joint Venture,1,43.0,3.7,3.7,3.0,3.0,0.56,1,3.52,1.28,4.0,2.7,3.9,3.6,3.8,7.12,3.78,16.74,6.34,72.4
FIRM_027,2024,SME,104,4.08,39,Meat Processing,Joint Venture,1,86.0,4.0,4.6,3.8,2.9,0.52,1,2.33,2.42,4.6,3.8,5.0,4.0,4.4,14.41,7.53,16.42,3.12,63.2
FIRM_028,2024,SME,14,4.95,18,Grains & Cereals,Domestic,0,0.0,2.5,4.8,3.1,3.3,0.63,1,2.4,1.16,4.8,3.4,4.7,3.6,4.3,1.93,1.22,6.68,2.79,63.6
FIRM_029,2024,Large,1199,20.19,17,Beverages,Domestic,0,0.0,2.6,4.6,3.2,2.8,0.49,0,3.74,1.43,3.4,4.2,4.0,4.6,3.8,8.2,1.1,7.47,0.75,60.6
FIRM_030,2024,SME,115,1.93,40,Confectionery,Domestic,0,0.0,3.1,4.5,2.6,2.5,0.67,0,0.8,1.65,4.9,2.6,2.0,4.8,3.2,3.48,1.4,4.96,0.99,61.4
