#,KXX [W/m/K]
Temperature_C,thermal_conductivity_wmk
20.0,1.255455622656645
40.0,1.2478755451067443
60.0,1.2383283864883603
80.0,1.217544839941122
100.0,1.1606770074629982
120.0,1.102692347826212
140.0,1.0790954665408017
160.0,1.0646421094778376
180.0,1.0508380421797974
200.0,1.0372042006627928
220.0,1.0236211036968303
240.0,1.00989637934037
260.0,0.9959541380503474
280.0,0.9817013211012299
300.0,0.9671561162826234
320.0,0.9522644172251788
340.0,0.9367212070147761
360.0,0.9202152867009391
380.0,0.9025154101172647
400.0,0.8834692730464475
420.0,0.8630938435891045
440.0,0.8417647268483118
460.0,0.8203066665876769
480.0,0.7997245043333695
500.0,0.7807314378101845
520.0,0.7635540432217374
540.0,0.748093724318596
560.0,0.7341498480162298
580.0,0.7215334578286162
600.0,0.7100910121893412
620.0,0.699695309349061
640.0,0.6902336164302422
660.0,0.6816008855290174
680.0,0.6736975251663301
700.0,0.6664296214405773
720.0,0.6597099913624518
740.0,0.653459187089816
760.0,0.6476060961355047
780.0,0.6420880765840089
800.0,0.636850700094112
