#,EX [Pa]
Temperature_C,elastic_modulus_pa
20.0,52879232418.23996
40.0,52796681438.20308
60.0,52688501088.817345
80.0,52545886427.66224
100.0,52356849704.39682
120.0,52105442329.68794
140.0,51771536744.88768
160.0,51332255898.69671
180.0,50766397100.186
200.0,50061726243.73582
220.0,49220823409.233986
240.0,48258230801.82259
260.0,47187845828.06231
280.0,46010870242.2174
300.0,44714563423.910355
320.0,43280528690.992966
340.0,41694860237.92553
360.0,39955158072.68248
380.0,38073413013.166534
400.0,36075234282.92006
420.0,33995970703.981544
440.0,31874412926.35036
460.0,29745286526.733265
480.0,27632370488.84558
500.0,25544478058.837337
520.0,23476527216.011265
540.0,21417209555.91167
560.0,19362621736.399876
580.0,17331118262.836388
600.0,15370448946.542933
620.0,13549365044.103426
640.0,11935612982.264267
660.0,10573284041.510483
680.0,9472624853.86481
700.0,8614645346.092726
720.0,7963405788.163499
740.0,7477948766.873728
760.0,7120035670.084687
780.0,6857627427.984612
800.0,6665556805.895268
