#,DENS [kg/m^3]
Temperature_C,density_kgm3
20.0,1955.045942076571
40.0,1954.8263446819576
60.0,1953.6551944243608
80.0,1946.979216661793
100.0,1922.638193280275
120.0,1895.7818855035616
140.0,1880.8804435205464
160.0,1866.2297066532099
180.0,1852.3619156633365
200.0,1843.400744380025
220.0,1838.980777855004
240.0,1836.7689626040274
260.0,1834.896807555882
280.0,1832.470903336594
300.0,1830.163733494539
320.0,1828.79740478013
340.0,1828.0567499318859
360.0,1827.4184006177625
380.0,1826.5507061678702
400.0,1825.2312682991262
420.0,1823.3291519459615
440.0,1820.898212198783
460.0,1818.2478855806103
480.0,1815.818150492574
500.0,1813.9203546090716
520.0,1812.6152066712189
540.0,1811.7942775219117
560.0,1811.3065607002056
580.0,1811.0265752360626
600.0,1810.86899911628
620.0,1810.781303679514
640.0,1810.73280303637
660.0,1810.7060721262978
680.0,1810.691367625523
700.0,1810.6832872747962
720.0,1810.6788495622836
740.0,1810.6764131528996
760.0,1810.6750757394893
780.0,1810.6743416660106
800.0,1810.673938772207
